cell_line,agent,GR_AOC,GRmax,GR50
HS578T,Torin2,0.5445399999999999,-0.21479,0.0087956
HS578T,Everolimus,0.4859100000000001,0.4685,0.16129000000000002
HS578T,INK128/MLN0128,0.5946,-0.04823,0.010414
HS578T,PF-4708671,0.018217,0.93834,inf
HS578T,Buparlisib/NVP-BKM120,0.36686,-0.32421,0.73072
HS578T,Pictilisib/GDC0941,0.29217,0.049333,1.3557
HS578T,Ceritinib/LDK378,0.33473,-0.6903699999999999,0.8917200000000001
HS578T,Neratinib/HKI272,0.19393,-0.11584,0.7058399999999999
HS578T,Tivantinib/ARQ197,0.45028,-0.31407,0.32769000000000004
HS578T,Cediranib/AZD2171,0.38593,-0.64232,0.62922
HS578T,Cabozantinib,0.14198,0.17121,6.1533
MCF10A,Abemaciclib/LY2835219,0.37976,0.14502,0.35154
MCF10A,Palbociclib/PD0332991,0.18666,0.45762,2.0589
MCF10A,AZD7762,0.2209,-0.15456,1.8521
MCF10A,Volasertib/BI6727,0.43977,-0.061984,0.021947
MCF10A,Dinaciclib/SCH727965,0.53662,-0.25198000000000004,0.016449000000000002
MCF10A,Cisplatin,0.097192,0.39494,4.4030000000000005
MCF10A,Doxorubicin,0.65572,-0.39034,0.011152
MCF10A,Paclitaxel,0.70075,-0.13113,0.0027248000000000003
MCF10A,Topotecan,0.75881,-0.17147,0.0097256
MCF10A,Etoposide,0.4206,-0.07088799999999999,0.27127
MCF10A,Dasatinib,0.3293,0.039606,0.74924
MCF10A,Trametinib/GSK1120212,0.52596,0.22349,0.0034024000000000003
MCF10A,Saracatinib/AZD0530,0.12484,0.14993,4.8592
MCF10A,ABT-737,0.011287,0.8204299999999999,inf
MCF10A,Vorinostat,0.16695,0.051478,2.5387
MCF10A,Luminespib/NVP-AUY922,0.5958600000000001,-0.13080999999999998,0.007383
MCF10A,A-1210477,0.0029699,0.94698,inf
MCF10A,Olaparib/AZD2281,0.039778,0.79676,57.6966
MCF10A,Bleomycin,0.45044,0.030779,0.17797000000000002
MCF10A,Ipatasertib/GDC0068,0.058987,0.65156,82.1825
MCF10A,Alpelisib/BYL719,0.10943,0.58108,17.2946
MCF10A,Taselisib/GDC0032,0.48338,0.055859000000000006,0.12028
MCF10A,TGX221,0.0053511,0.95219,inf
MCF10A,Torin2,0.33611,0.1234,0.032272
MCF10A,Everolimus,0.10860999999999997,0.7933100000000001,inf
MCF10A,INK128/MLN0128,0.46753,0.16614,0.024457
MCF10A,PF-4708671,0.051018,0.7137399999999999,inf
MCF10A,Buparlisib/NVP-BKM120,0.24873,-0.18189,1.489
MCF10A,Pictilisib/GDC0941,0.26021,0.18836,1.8937
MCF10A,Ceritinib/LDK378,0.18647,-0.37757,3.0632
MCF10A,Neratinib/HKI272,0.3405,0.12451,0.10098
MCF10A,Tivantinib/ARQ197,0.44962,-0.14487,0.18476
MCF10A,Cediranib/AZD2171,0.033843,0.47633,9.6209
MCF10A,Cabozantinib,-0.010763,0.84603,18.0665
MCF7,Abemaciclib/LY2835219,0.67695,-0.27514,0.031760000000000004
MCF7,Palbociclib/PD0332991,0.31956,0.30186,0.097049
MCF7,AZD7762,0.57801,-0.17429,0.048124
MCF7,Volasertib/BI6727,0.59311,0.013412,0.002794
MCF7,Dinaciclib/SCH727965,0.6283,-0.21666,0.008346899999999999
MCF7,Cisplatin,0.058230999999999984,0.4785100000000001,9.4412
MCF7,Doxorubicin,0.60847,-0.23813,0.018095
MCF7,Paclitaxel,0.7461,-0.07402,0.0014647
MCF7,Topotecan,0.8800899999999999,-0.45274,0.0067538
MCF7,Etoposide,0.49517,-0.042958,0.14117000000000002
MCF7,Dasatinib,0.52062,0.13949,0.06034
MCF7,Trametinib/GSK1120212,0.29532,0.53067,inf
MCF7,Saracatinib/AZD0530,0.34283,0.24433,0.43432
MCF7,ABT-737,0.016138999999999997,0.71496,21.953000000000007
MCF7,Vorinostat,0.33487,-0.11872,0.56518
MCF7,Luminespib/NVP-AUY922,0.48377,0.041598,0.0094065
MCF7,A-1210477,-0.0015321,0.8845,inf
MCF7,Olaparib/AZD2281,0.051405999999999986,0.54142,11.0681
MCF7,Bleomycin,0.55315,-0.050025,0.080637
MCF7,Ipatasertib/GDC0068,0.2572,0.29665,1.2666
MCF7,Alpelisib/BYL719,0.31374,0.089309,0.59807
MCF7,Taselisib/GDC0032,0.7178100000000001,-0.20819,0.010051
MCF7,TGX221,-0.005614899999999999,0.79527,17.4688
MCF7,Torin2,0.5693600000000001,-0.046342,0.0044643
MCF7,Everolimus,0.5606300000000001,0.39283,0.0027655
MCF7,INK128/MLN0128,0.6985100000000001,0.038428,0.0028837
MCF7,PF-4708671,0.050872,0.58311,20.8737
MCF7,Buparlisib/NVP-BKM120,0.47643,-0.16883,0.19198
MCF7,Pictilisib/GDC0941,0.48598,-0.090362,0.13284
MCF7,Ceritinib/LDK378,0.45482,-0.73185,0.37058
MCF7,Neratinib/HKI272,0.14087,0.0969,1.3017
MCF7,Tivantinib/ARQ197,0.43413,-0.012026,0.16002
MCF7,Cediranib/AZD2171,0.069994,0.12558,5.8803
MCF7,Cabozantinib,0.10653,-0.073239,4.9225
MDAMB231,Abemaciclib/LY2835219,0.66956,-0.67243,0.058149
MDAMB231,Palbociclib/PD0332991,0.33037,0.25301,0.13949
MDAMB231,AZD7762,0.57039,-0.59926,0.15516
MDAMB231,Volasertib/BI6727,0.60526,-0.012902,0.0038887
MDAMB231,Dinaciclib/SCH727965,0.66347,-0.43474,0.01018
MDAMB231,Cisplatin,0.13945,0.2962,2.721
MDAMB231,Doxorubicin,0.80162,-0.56633,0.0054343
MDAMB231,Paclitaxel,0.71636,-0.16569,0.0024046
MDAMB231,Topotecan,0.6887300000000001,-0.30244,0.034355000000000004
MDAMB231,Etoposide,0.2786,0.16423,0.77786
MDAMB231,Dasatinib,0.65288,-0.20418,0.033048
MDAMB231,Trametinib/GSK1120212,0.75355,-0.21869,0.0024082
MDAMB231,Saracatinib/AZD0530,0.25732,0.26898,2.5251
MDAMB231,ABT-737,0.1999,-0.25891,2.4002
MDAMB231,Vorinostat,0.29413,-0.46924,1.1864
MDAMB231,Luminespib/NVP-AUY922,0.62446,-0.13995,0.0058067
MDAMB231,A-1210477,0.040868,0.95103,inf
MDAMB231,Olaparib/AZD2281,0.062585,0.60788,14.4108
MDAMB231,Bleomycin,0.123,0.4659100000000001,7.9098
MDAMB231,Ipatasertib/GDC0068,-0.012681,0.95058,inf
MDAMB231,Alpelisib/BYL719,0.074353,0.70804,27.6794
MDAMB231,Taselisib/GDC0032,0.25152,0.037522,2.1332
MDAMB231,TGX221,0.032712,0.8339799999999999,inf
MDAMB231,Torin2,0.36443,-0.065234,0.032044
MDAMB231,Everolimus,0.18808,0.7551399999999999,inf
MDAMB231,INK128/MLN0128,0.457,0.1149,0.026432
MDAMB231,PF-4708671,0.0056164,0.83375,inf
MDAMB231,Buparlisib/NVP-BKM120,0.27033,-0.31596,1.5605
MDAMB231,Pictilisib/GDC0941,0.18998,0.33249,5.8309
MDAMB231,Ceritinib/LDK378,0.36397,-0.52042,0.85115
MDAMB231,Neratinib/HKI272,0.11743,-0.103,1.311
MDAMB231,Tivantinib/ARQ197,0.35185,-0.1617,0.41509
MDAMB231,Cediranib/AZD2171,0.1156,-0.48414,4.8659
MDAMB231,Cabozantinib,0.15239,0.025675,4.3761
SKBR3,Abemaciclib/LY2835219,0.54362,0.13271,0.034395
SKBR3,Palbociclib/PD0332991,0.28865,0.35722,0.15649000000000002
SKBR3,AZD7762,0.84604,-0.39048,0.021933
SKBR3,Volasertib/BI6727,0.6926,-0.30101999999999995,0.0054458
SKBR3,Dinaciclib/SCH727965,0.7692,-0.46714,0.0071238
SKBR3,Cisplatin,0.10396,0.22324,5.002
SKBR3,Doxorubicin,0.88708,-0.43458,0.0066293
SKBR3,Paclitaxel,0.8587899999999999,-0.31259000000000003,0.0019478
SKBR3,Topotecan,0.80995,-0.29607,0.016615
SKBR3,Etoposide,0.40819,-0.34023000000000003,0.39001
SKBR3,Dasatinib,0.063986,0.07083300000000001,3.5615
SKBR3,Trametinib/GSK1120212,0.19519,0.6687,inf
SKBR3,Saracatinib/AZD0530,0.021012,0.29585,4.9645
SKBR3,ABT-737,-0.022411,0.98836,inf
SKBR3,Vorinostat,0.32477,-0.45649,0.79489
SKBR3,Luminespib/NVP-AUY922,0.7135199999999999,-0.075942,0.0023353
SKBR3,A-1210477,0.034261,0.6383300000000001,11.2625
SKBR3,Olaparib/AZD2281,0.03459,0.5848800000000001,12.5016
SKBR3,Bleomycin,0.26751,0.16134,1.0023
SKBR3,Ipatasertib/GDC0068,0.13781,0.39652,4.3075
SKBR3,Alpelisib/BYL719,0.35668,-0.023337,0.49445
SKBR3,Taselisib/GDC0032,0.76294,-0.15927,0.007292699999999998
SKBR3,TGX221,-0.008847399999999998,0.7671399999999999,inf
SKBR3,Torin2,0.6766800000000001,-0.25837,0.0041365
SKBR3,Everolimus,0.7509600000000001,0.17087,-inf
SKBR3,INK128/MLN0128,0.8773799999999999,-0.30382,0.002958
SKBR3,PF-4708671,0.018498,0.75025,inf
SKBR3,Buparlisib/NVP-BKM120,0.5534899999999999,-0.31115,0.15270999999999998
SKBR3,Pictilisib/GDC0941,0.49259,-0.11332,0.12935
SKBR3,Ceritinib/LDK378,0.34038,-0.9121,0.8855
SKBR3,Neratinib/HKI272,0.8198,-0.13885,0.0017436
SKBR3,Tivantinib/ARQ197,0.45834,-0.30099000000000004,0.27584000000000003
SKBR3,Cediranib/AZD2171,0.07267799999999999,-0.5392,6.1004
SKBR3,Cabozantinib,0.0020395,0.4048,9.5304
BT20,Abemaciclib/LY2835219,0.5622699999999999,-0.18117,0.059249
BT20,Palbociclib/PD0332991,0.40039,0.15125999999999998,0.044272000000000006
BT20,AZD7762,0.28476,-0.53423,1.0304
BT20,Volasertib/BI6727,0.7538,-0.4327,0.0055816
BT20,Dinaciclib/SCH727965,0.62229,-0.54769,0.019048
BT20,Cisplatin,0.3276,-0.26617,0.7752399999999999
BT20,Doxorubicin,0.79202,-0.42504,0.0089065
BT20,Paclitaxel,0.95721,-0.53035,0.0020966
BT20,Topotecan,0.9761,-0.52883,0.0125
BT20,Etoposide,0.44723,-0.31663,0.30637
BT20,Dasatinib,0.35341,0.25002,0.45004
BT20,Trametinib/GSK1120212,0.17162,0.53301,inf
BT20,Saracatinib/AZD0530,0.16929,0.30331,4.5233
BT20,ABT-737,0.024387,0.61964,13.9282
BT20,Vorinostat,0.15333,-0.094007,2.3056
BT20,Luminespib/NVP-AUY922,0.5435399999999999,-0.015622,0.006099800000000001
BT20,A-1210477,-0.026968,0.8221,15.05
BT20,Olaparib/AZD2281,0.06083400000000001,0.61254,15.2231
BT20,Bleomycin,0.36397,-0.092383,0.52425
BT20,Ipatasertib/GDC0068,0.30588000000000004,0.099175,0.62146
BT20,Alpelisib/BYL719,0.21684,-0.15917,1.8451
BT20,Taselisib/GDC0032,0.77094,-0.39409,0.015673
BT20,TGX221,-0.043357,1.0018,inf
BT20,Torin2,0.55002,-0.29356,0.008398899999999999
BT20,Everolimus,0.59082,0.39249,inf
BT20,INK128/MLN0128,0.58667,-0.073573,0.012788
BT20,PF-4708671,0.014745,0.67267,16.2463
BT20,Buparlisib/NVP-BKM120,0.37587,-0.54592,0.6018
BT20,Pictilisib/GDC0941,0.30423,-0.22358000000000006,0.8724
BT20,Ceritinib/LDK378,0.26534,-0.85346,1.574
BT20,Neratinib/HKI272,0.14801,0.31053000000000003,1.3538
BT20,Tivantinib/ARQ197,0.41128,-0.44865,0.47976
BT20,Cediranib/AZD2171,0.039107,0.21964,5.7472
BT20,Cabozantinib,0.052774,-0.17620999999999998,5.7054
BT549,Abemaciclib/LY2835219,0.1249,0.047256,4.0454
BT549,Palbociclib/PD0332991,-0.039242,1.05,inf
BT549,AZD7762,0.61512,-0.42303,0.068383
BT549,Volasertib/BI6727,0.57015,-0.20861,0.0088371
BT549,Dinaciclib/SCH727965,0.57976,-0.26875,0.012604
BT549,Cisplatin,0.27951,0.078851,1.0492
BT549,Doxorubicin,0.74841,-0.33654,0.006564399999999999
BT549,Paclitaxel,0.70093,-0.20213,0.0026714000000000004
BT549,Topotecan,0.83799,-0.21647,0.008671799999999999
BT549,Etoposide,0.46624,-0.20207,0.18963
BT549,Dasatinib,0.24561,0.36243,0.5244300000000001
BT549,Trametinib/GSK1120212,0.13055,0.5968399999999999,4.9322
BT549,Saracatinib/AZD0530,0.04157,0.53446,27.1365
BT549,ABT-737,-0.028463,0.96476,inf
BT549,Vorinostat,0.19062,0.10882,2.3347
BT549,Luminespib/NVP-AUY922,0.5985699999999999,-0.090503,0.0056967
BT549,A-1210477,0.011698,0.94896,inf
BT549,Olaparib/AZD2281,0.062037,0.55867,12.3589
BT549,Bleomycin,0.46067,-0.010575,0.18893
BT549,Ipatasertib/GDC0068,0.17132,0.50339,13.796
BT549,Alpelisib/BYL719,0.034379,0.68453,17.6207
BT549,Taselisib/GDC0032,0.22053000000000006,0.085797,2.2282
BT549,TGX221,0.054948,0.81443,inf
BT549,Torin2,0.49062,-0.0095198,0.0095134
BT549,Everolimus,0.43799,0.52041,inf
BT549,INK128/MLN0128,0.53541,0.065255,0.016919999999999998
BT549,PF-4708671,-0.0059754,0.7478600000000001,21.4764
BT549,Buparlisib/NVP-BKM120,0.24381,-0.23914,1.44
BT549,Pictilisib/GDC0941,0.20658,0.13889,2.7832
BT549,Ceritinib/LDK378,0.15436,-0.26728,2.7028
BT549,Neratinib/HKI272,0.080631,0.2031,1.97
BT549,Tivantinib/ARQ197,0.34634000000000004,-0.23462,0.57808
BT549,Cediranib/AZD2171,0.14770999999999998,-0.12398,3.7231
BT549,Cabozantinib,0.01623,0.48616,9.9281
HCC38,Abemaciclib/LY2835219,0.63556,-0.29925,0.044473
HCC38,Palbociclib/PD0332991,0.3702,0.15554,0.05976
HCC38,AZD7762,0.91228,-0.34532,0.010165
HCC38,Volasertib/BI6727,0.5818,-0.2407,0.0085069
HCC38,Dinaciclib/SCH727965,0.6148399999999999,-0.41706,0.013267
HCC38,Cisplatin,0.24946,-0.10872,1.0887
HCC38,Doxorubicin,0.75588,-0.37446,0.010252
HCC38,Paclitaxel,0.82491,-0.30235,0.0015517
HCC38,Topotecan,1.0475,-0.45282,0.007249500000000002
HCC38,Etoposide,0.43557,-0.4149100000000001,0.36042
HCC38,Dasatinib,0.14898,0.35242,5.7414
HCC38,Trametinib/GSK1120212,0.21063,0.19331,0.20852
HCC38,Saracatinib/AZD0530,0.095045,0.62921,35.2281
HCC38,ABT-737,0.2718,-0.41304,1.1782
HCC38,Vorinostat,0.28572,-0.3153,1.0246
HCC38,Luminespib/NVP-AUY922,0.6130899999999999,-0.18462,0.0072336
HCC38,A-1210477,0.013856,0.8980299999999999,15.3194
HCC38,Olaparib/AZD2281,0.057702,0.46387,9.2394
HCC38,Bleomycin,0.46852,-0.22199,0.22053000000000006
HCC38,Ipatasertib/GDC0068,0.11771,0.70615,inf
HCC38,Alpelisib/BYL719,0.043423,0.69212,24.4795
HCC38,Taselisib/GDC0032,0.19844,0.07194099999999999,2.7865
HCC38,TGX221,-0.025457,0.96276,inf
HCC38,Torin2,0.53322,-0.19832,0.010587
HCC38,Everolimus,0.48358,0.48182,inf
HCC38,INK128/MLN0128,0.53615,-0.0079921,0.018947
HCC38,PF-4708671,-0.026312,0.97302,inf
HCC38,Buparlisib/NVP-BKM120,0.24349,-0.26921,1.3634
HCC38,Pictilisib/GDC0941,0.11777,0.35694000000000004,6.5817
HCC38,Ceritinib/LDK378,0.22047,-0.45363,1.8582
HCC38,Neratinib/HKI272,0.10229,0.4605,3.2174
HCC38,Tivantinib/ARQ197,0.41774,-0.2477,0.33555
HCC38,Cediranib/AZD2171,0.21017,-0.19791,1.5779
HCC38,Cabozantinib,0.037849,0.32606,8.3143
HCC70,Abemaciclib/LY2835219,0.21089,-0.68835,1.9813
HCC70,Palbociclib/PD0332991,-0.022579,0.91835,inf
HCC70,AZD7762,0.69039,-0.37503,0.053630999999999984
HCC70,Volasertib/BI6727,0.5716399999999999,-0.13427,0.0075188
HCC70,Dinaciclib/SCH727965,0.78872,-0.82499,0.013194999999999998
HCC70,Cisplatin,0.24174,-0.52889,1.4154
HCC70,Doxorubicin,0.75439,-0.70592,0.011032
HCC70,Paclitaxel,0.86188,-0.29706,0.0013802
HCC70,Topotecan,1.0222,-0.70433,0.0091584
HCC70,Etoposide,0.43891,-0.12828,0.37426
HCC70,Dasatinib,1.0881,-0.56885,0.008470100000000001
HCC70,Trametinib/GSK1120212,0.60636,0.17797000000000002,0.001641
HCC70,Saracatinib/AZD0530,0.58949,-0.18478,0.059803
HCC70,ABT-737,0.12841,0.058179,3.5265
HCC70,Vorinostat,0.4069,-0.33341,0.34494
HCC70,Luminespib/NVP-AUY922,0.67807,-0.35757,0.0074965
HCC70,A-1210477,0.003675,0.94429,inf
HCC70,Olaparib/AZD2281,0.024678,0.6947399999999999,22.1058
HCC70,Bleomycin,0.40676,-0.07877999999999999,0.42947
HCC70,Ipatasertib/GDC0068,0.48083,-0.087516,0.1115
HCC70,Alpelisib/BYL719,0.12855,0.073287,4.1199
HCC70,Taselisib/GDC0032,0.53891,-0.5102399999999999,0.15311
HCC70,TGX221,0.49676,-0.00024148,0.075353
HCC70,Torin2,0.63355,-0.38654,0.0043485
HCC70,Everolimus,0.47015,0.38865,0.31001
HCC70,INK128/MLN0128,0.6905399999999999,-0.097747,0.0045854
HCC70,PF-4708671,-0.02659,0.95449,inf
HCC70,Buparlisib/NVP-BKM120,0.43218,-0.58834,0.4209
HCC70,Pictilisib/GDC0941,0.56763,-0.44581,0.1411
HCC70,Ceritinib/LDK378,0.13238,-0.89994,3.3041
HCC70,Neratinib/HKI272,0.32858000000000004,0.10143,0.13865999999999998
HCC70,Tivantinib/ARQ197,0.4406600000000001,-0.55248,0.35853
HCC70,Cediranib/AZD2171,0.089037,-0.22911,4.6422
HCC70,Cabozantinib,0.2923,-0.086301,1.1764
PDX1258,Abemaciclib/LY2835219,0.33899,-0.28345,0.62725
PDX1258,Palbociclib/PD0332991,-0.047266,1.0094,inf
PDX1258,AZD7762,0.8373799999999999,-0.37853,0.016597999999999998
PDX1258,Volasertib/BI6727,0.5385,-0.16088,0.0075163
PDX1258,Dinaciclib/SCH727965,0.65633,-0.51774,0.011849
PDX1258,Cisplatin,0.14864000000000002,0.34279,2.6943
PDX1258,Doxorubicin,0.70631,-0.46923,0.0094632
PDX1258,Paclitaxel,0.6844899999999999,-0.06554700000000001,0.0020747
PDX1258,Topotecan,0.81853,-0.34869,0.013987
PDX1258,Etoposide,0.37783,-0.10014,0.31924
PDX1258,Dasatinib,0.73151,-0.11716,0.018294
PDX1258,Trametinib/GSK1120212,0.032245,0.86398,inf
PDX1258,Saracatinib/AZD0530,0.30344,0.16804000000000002,0.5422899999999999
PDX1258,ABT-737,-0.00085573,0.81006,49.5285
PDX1258,Vorinostat,0.19929,0.0069699,1.6756
PDX1258,Luminespib/NVP-AUY922,0.56177,-0.19669,0.010141
PDX1258,A-1210477,-0.0022898000000000003,0.92376,inf
PDX1258,Olaparib/AZD2281,0.021434,0.59514,12.3797
PDX1258,Bleomycin,0.28136,0.11835,0.8502299999999999
PDX1258,Ipatasertib/GDC0068,0.15004,0.41015,4.8725
PDX1258,Alpelisib/BYL719,0.063577,0.64494,20.9081
PDX1258,Taselisib/GDC0032,0.28207,0.10864,0.95946
PDX1258,TGX221,-0.028769,0.99649,inf
PDX1258,Torin2,0.3544,-0.15991,0.035531
PDX1258,Everolimus,0.2972,0.6387,inf
PDX1258,INK128/MLN0128,0.44995,-0.12705999999999998,0.045003
PDX1258,PF-4708671,0.0059671,0.79181,55.6828
PDX1258,Buparlisib/NVP-BKM120,0.24965,-0.32659,1.3456
PDX1258,Pictilisib/GDC0941,0.2398,0.038802,1.5543
PDX1258,Ceritinib/LDK378,0.22294,-0.69595,1.968
PDX1258,Neratinib/HKI272,0.16577999999999998,0.2146,1.1061
PDX1258,Tivantinib/ARQ197,0.37423,-0.16608,0.40116
PDX1258,Cediranib/AZD2171,0.07241,-0.525,4.6761
PDX1258,Cabozantinib,0.03375,0.23689,7.8899
PDX1328,Abemaciclib/LY2835219,0.90568,-0.7380399999999999,0.0020804
PDX1328,Palbociclib/PD0332991,0.4548100000000001,0.079104,0.023103
PDX1328,AZD7762,0.84,-0.82588,0.034238
PDX1328,Volasertib/BI6727,0.98151,-0.58217,0.0023916
PDX1328,Dinaciclib/SCH727965,0.73727,-0.6784899999999999,0.01131
PDX1328,Cisplatin,0.32894,-0.45628,0.76013
PDX1328,Doxorubicin,0.81361,-0.76357,0.012686
PDX1328,Paclitaxel,0.91565,-0.52599,0.0029229
PDX1328,Topotecan,1.103,-0.89536,0.0047283
PDX1328,Etoposide,0.38026,-0.3107,0.7277100000000001
PDX1328,Dasatinib,0.72008,-0.36063,0.029126
PDX1328,Trametinib/GSK1120212,0.34935,0.21533,0.017153
PDX1328,Saracatinib/AZD0530,0.3465,-0.055897,0.6732899999999999
PDX1328,ABT-737,0.32169000000000003,-0.8899,1.2919999999999998
PDX1328,Vorinostat,0.47638,-0.56812,0.38793
PDX1328,Luminespib/NVP-AUY922,0.8648299999999999,-0.44734,0.0022705
PDX1328,A-1210477,0.055002,0.71137,26.6192
PDX1328,Olaparib/AZD2281,0.026703,0.7277899999999999,inf
PDX1328,Bleomycin,0.21702,0.27576,3.234
PDX1328,Ipatasertib/GDC0068,0.15421,0.2637,3.9817
PDX1328,Alpelisib/BYL719,0.39348,-0.031439,0.25953000000000004
PDX1328,Taselisib/GDC0032,0.7822899999999999,-0.2886,0.0048194
PDX1328,TGX221,0.019873,0.7431399999999999,24.4012
PDX1328,Torin2,0.74484,-0.38306,0.0026359
PDX1328,Everolimus,0.7257899999999999,0.25116,inf
PDX1328,INK128/MLN0128,0.8559899999999999,-0.34176,0.0035878
PDX1328,PF-4708671,0.090441,0.36752,7.4024
PDX1328,Buparlisib/NVP-BKM120,0.57614,-0.54445,0.26445
PDX1328,Pictilisib/GDC0941,0.46561,-0.28376,0.25118
PDX1328,Ceritinib/LDK378,0.57194,-0.96119,0.23411
PDX1328,Neratinib/HKI272,0.45754,-0.41918,0.099547
PDX1328,Tivantinib/ARQ197,0.56822,-0.50122,0.19668
PDX1328,Cediranib/AZD2171,0.39534,-0.8498700000000001,0.82495
PDX1328,Cabozantinib,0.26063000000000003,-0.23619,1.5408
MDAMB134,Abemaciclib/LY2835219,0.71295,-0.98614,inf
MDAMB134,Palbociclib/PD0332991,0.59723,0.087637,0.0077745
MDAMB134,AZD7762,0.55679,-0.5571699999999999,0.16451
MDAMB134,Volasertib/BI6727,0.79471,-0.4877,0.0030791
MDAMB134,Dinaciclib/SCH727965,0.69276,-0.73359,0.01126
MDAMB134,Cisplatin,0.082524,0.36674,7.0494
MDAMB134,Doxorubicin,1.1041,-0.90881,0.0033063000000000003
MDAMB134,Paclitaxel,1.0098,-0.31617,0.00023307
MDAMB134,Topotecan,0.9983,-0.74642,0.01135
MDAMB134,Etoposide,0.66037,-0.48632,0.08368400000000001
MDAMB134,Dasatinib,-0.041648,0.94747,inf
MDAMB134,Trametinib/GSK1120212,0.7057100000000001,-0.20669,0.0025287
MDAMB134,Saracatinib/AZD0530,-0.05,1.05,inf
MDAMB134,ABT-737,0.2319,-0.8054600000000001,1.9898
MDAMB134,Vorinostat,0.16538,-0.4276100000000001,2.531
MDAMB134,Luminespib/NVP-AUY922,0.8950100000000001,-0.67201,0.0045301
MDAMB134,A-1210477,-0.028362,1.05,inf
MDAMB134,Olaparib/AZD2281,0.016590999999999998,0.55937,inf
MDAMB134,Bleomycin,0.25716999999999995,-0.00098007,1.8569
MDAMB134,Ipatasertib/GDC0068,0.019122,0.50712,inf
MDAMB134,Alpelisib/BYL719,0.069329,0.5726100000000001,31.4603
MDAMB134,Taselisib/GDC0032,0.35381,-0.34497,0.94253
MDAMB134,TGX221,-0.038322,0.86315,inf
