CellLine	DrugName	PrimaryTarget	Pathway	GR50	GRmax	GR_AOC	Death_AUC	Hill_GR	GEC50	GR_r2
HCC1806	Torin2	mTOR/ATM/ATR	PI3K/mTOR	0.03581	-0.14021	0.38766	0.10045	0.98926	0.048229	0.99141
HCC1806	Everolimus	mTOR1	PI3K/mTOR	Inf	0.81681	0.19722	0.00043077	0	Inf	-2.9998e-08
HCC1806	INK128/MLN0128	mTORC1/2	PI3K/mTOR	0.052338	0.26195	0.38946	0.035306	0.90212	0.019916	0.9778
HCC1806	PF-4708671	p70S6K	PI3K/mTOR	Inf	1.05	-0.020695	-0.0032597	0	Inf	-0.67606
HCC1806	Buparlisib/NVP-BKM120	pan PI3K	PI3K/mTOR	1.0455	-0.26918	0.30509	0.1247	2.2933	1.2847	0.99486
HCC1806	Pictilisib/GDC0941	pan PI3K	PI3K/mTOR	5.8714	0.19361	0.11784	0.021991	1.3031	13.6419	0.96395
HCC1806	Ceritinib/LDK378	ALK	RTK	2.1149	-0.40601	0.17661	0.079344	2.2387	2.8712	0.99364
HCC1806	Neratinib/HKI272	EGFR/HER2	RTK	0.77903	-0.088255	0.19273	0.075693	0.81159	3.0161	0.95894
HCC1806	Tivantinib/ARQ197	MET	RTK	0.27161	-0.21848	0.44644	0.18095	3.1555	0.30267	0.99849
HCC1806	Cediranib/AZD2171	VEGFR/cKIT	RTK	4.9315	0.095404	0.064497	0.03631	4.9998	4.7786	0.98723
HCC1806	Cabozantinib	VEGFR2/MET	RTK	11.367	0.69051	-0.0025087	0.0049548	4.9955	13.3217	0.89668
HS578T	Abemaciclib/LY2835219	CDK4/6	Cell cycle	0.077629	-0.58254	0.63432	0.19663	0.41599	1.0889	0.95772
HS578T	Palbociclib/PD0332991	CDK4/6	Cell cycle	0.15611	0.30493	0.31954	0.036291	0.72227	0.037735	0.98196
HS578T	AZD7762	CHK1/2	Cell cycle	0.015096	-0.59828	0.86461	0.41328	1.8783	0.01967	0.95944
HS578T	Volasertib/BI6727	PLK	Cell cycle	0.0025675	-0.31229	0.8198	0.33374	3.0081	0.0029864	0.9987
HS578T	Dinaciclib/SCH727965	pan CDK	Cell cycle	0.0089363	-0.23875	0.61604	0.21208	4.9934	0.0096082	0.99916
HS578T	Cisplatin	Chemo	Chemotherapy	1.5413	0.012492	0.23473	0.092991	1.4392	1.6968	0.99339
HS578T	Doxorubicin	Chemo	Chemotherapy	0.0041078	-0.34661	0.80067	0.24503	1.2269	0.0052684	0.96807
HS578T	Paclitaxel	Chemo	Chemotherapy	0.0010154	-0.37519	0.95345	0.47876	1.2811	0.0015458	0.95438
HS578T	Topotecan	Topo I	Chemotherapy	0.0049855	-0.44884	1.0175	0.47166	1.1814	0.0076404	0.9429
HS578T	Etoposide	Topo II	Chemotherapy	0.41322	-0.13608	0.37698	0.16655	2.0332	0.46109	0.99901
HS578T	Dasatinib	BCR/ABL	MAPK/nRTK	0.038606	-0.24416	0.71028	0.26788	0.97493	0.059157	0.98877
HS578T	Trametinib/GSK1120212	MEK	MAPK/nRTK	0.0063584	0.19306	0.49069	0.071276	0.90224	0.0036513	0.99154
HS578T	Saracatinib/AZD0530	SRC	MAPK/nRTK	4.0375	0.18896	0.15938	0.029105	0.71104	18.9291	0.97543
HS578T	ABT-737	Bcl2/XL	Misc	Inf	0.7755	0.026044	0.017655	1.3421	4.2689	0.94189
HS578T	Vorinostat	HDAC	Misc	0.90288	-0.16886	0.27278	0.10489	2.2431	1.0225	0.99568
HS578T	Luminespib/NVP-AUY922	HSP90	Misc	0.0032976	-0.11439	0.66986	0.22886	2.5765	0.0035402	0.99828
HS578T	A-1210477	Mcl-1	Misc	Inf	0.94191	-0.0064896	-7.4934e-05	0	Inf	0.41975
HS578T	Olaparib/AZD2281	PARP	Misc	8.9082	0.44354	0.099703	0.010063	1.0369	25.6993	0.93656
HS578T	Bleomycin	Radiation	Misc	0.25197	-0.19657	0.44622	0.20944	0.95798	0.37819	0.99872
HS578T	Ipatasertib/GDC0068	AKT	PI3K/mTOR	4.5924	0.44227	0.2458	0.0093089	0.50058	0.34659	0.98155
HS578T	Alpelisib/BYL719	PI3Ka	PI3K/mTOR	11.8954	0.53081	0.090458	0.0063212	0.71992	54.7171	0.9693
HS578T	Taselisib/GDC0032	PI3Ka, g, d	PI3K/mTOR	0.57529	-0.01794	0.37364	0.073407	0.39192	8.8945	0.98886
HS578T	TGX221	PI3Kb	PI3K/mTOR	34.4921	0.70944	0.066834	0.010301	0.5623	243.351	0.9333
HS578T	Torin2	mTOR/ATM/ATR	PI3K/mTOR	0.0070774	-0.2174	0.56833	0.13725	0.76079	0.010409	0.98427
HS578T	Everolimus	mTOR1	PI3K/mTOR	0.0056053	0.42044	0.52725	0.027763	0.40842	2.87e-05	0.64462
HS578T	INK128/MLN0128	mTORC1/2	PI3K/mTOR	0.0090588	-0.070802	0.62264	0.10102	1.2366	0.0087974	0.98428
HS578T	PF-4708671	p70S6K	PI3K/mTOR	Inf	0.91431	0.025204	0.00050188	2.0096	0.1778	0.76824
HS578T	Buparlisib/NVP-BKM120	pan PI3K	PI3K/mTOR	0.68631	-0.34338	0.37603	0.15203	1.4596	1.0562	0.9918
HS578T	Pictilisib/GDC0941	pan PI3K	PI3K/mTOR	1.1555	0.034513	0.31088	0.048766	0.43971	14.0561	0.97858
HS578T	Ceritinib/LDK378	ALK	RTK	0.96543	-0.43555	0.30524	0.12537	0.83303	3.6097	0.98175
HS578T	Neratinib/HKI272	EGFR/HER2	RTK	0.6444	-0.16075	0.20252	0.066543	0.87438	2.2637	0.98743
HS578T	Tivantinib/ARQ197	MET	RTK	0.33668	-0.32035	0.44114	0.20706	2.056	0.42597	0.99878
HS578T	Cediranib/AZD2171	VEGFR/cKIT	RTK	0.55083	-0.57228	0.39373	0.13579	0.66412	2.8803	0.96002
HS578T	Cabozantinib	VEGFR2/MET	RTK	6.3728	0.21545	0.13348	0.045205	1.3885	14.0588	0.89112
MCF10A	Abemaciclib/LY2835219	CDK4/6	Cell cycle	0.34027	0.15126	0.38109	-0.0011919	0.57138	0.28176	0.99756
MCF10A	Palbociclib/PD0332991	CDK4/6	Cell cycle	1.9503	0.45436	0.18834	-0.0046933	0.64924	0.23713	0.99244
MCF10A	AZD7762	CHK1/2	Cell cycle	1.8064	-0.18004	0.22455	0.080162	0.84722	6.6065	0.99793
MCF10A	Volasertib/BI6727	PLK	Cell cycle	0.022128	-0.088687	0.44659	0.17106	3.5358	0.023168	0.99997
MCF10A	Dinaciclib/SCH727965	pan CDK	Cell cycle	0.016244	-0.23002	0.52792	0.2344	5	0.017523	0.99904
MCF10A	Cisplatin	Chemo	Chemotherapy	4.2937	0.37943	0.095182	0.014853	2.1287	2.4561	0.99519
MCF10A	Doxorubicin	Chemo	Chemotherapy	0.010766	-0.32419	0.65489	0.10542	1.4229	0.012388	0.96407
MCF10A	Paclitaxel	Chemo	Chemotherapy	0.0026843	-0.12555	0.70234	0.25759	1.8234	0.003018	0.9967
MCF10A	Topotecan	Topo I	Chemotherapy	0.009871	-0.2	0.76528	0.1401	1.1478	0.01069	0.95965
MCF10A	Etoposide	Topo II	Chemotherapy	0.28398	-0.069865	0.41554	0.069136	1.3527	0.31593	0.99713
MCF10A	Dasatinib	BCR/ABL	MAPK/nRTK	0.70911	-0.014557	0.33852	0.061913	0.53034	2.8391	0.99012
MCF10A	Trametinib/GSK1120212	MEK	MAPK/nRTK	0.0033619	0.22519	0.52657	-0.001516	1.2096	0.0021432	0.99763
MCF10A	Saracatinib/AZD0530	SRC	MAPK/nRTK	4.8259	0.1485	0.12468	0.0066079	1.0801	13.3454	0.99696
MCF10A	ABT-737	Bcl2/XL	Misc	Inf	0.81696	0.01043	0.0055349	4.1268	4.3547	0.98669
MCF10A	Vorinostat	HDAC	Misc	2.5293	0.056625	0.16754	0.0065148	1.2709	3.1489	0.99982
MCF10A	Luminespib/NVP-AUY922	HSP90	Misc	0.0076226	-0.17166	0.61311	0.26217	3.1403	0.0083878	0.9999
MCF10A	A-1210477	Mcl-1	Misc	Inf	0.95265	0.0017612	0.00055849	4.5125	3.8181	0.94609
MCF10A	Olaparib/AZD2281	PARP	Misc	59.3998	0.79447	0.040781	-0.00072024	0.6167	350.419	0.98306
MCF10A	Bleomycin	Radiation	Misc	0.1774	0.03778	0.44903	0.069173	0.99229	0.1791	0.99758
MCF10A	Ipatasertib/GDC0068	AKT	PI3K/mTOR	Inf	0.64724	0.05999	-0.0019102	1.0758	4.7959	0.99868
MCF10A	Alpelisib/BYL719	PI3Ka	PI3K/mTOR	17.193	0.57868	0.11257	-0.0028905	0.44105	201.6709	0.99492
MCF10A	Taselisib/GDC0032	PI3Ka, g, d	PI3K/mTOR	0.11877	0.059316	0.48438	-0.00015969	0.50488	0.12632	0.99608
MCF10A	TGX221	PI3Kb	PI3K/mTOR	Inf	0.95045	0.005034	0.00032618	0.81814	270.4333	0.86411
MCF10A	Torin2	mTOR/ATM/ATR	PI3K/mTOR	0.032009	0.12748	0.33678	0.0010929	1.3839	0.02463	0.99809
MCF10A	Everolimus	mTOR1	PI3K/mTOR	Inf	0.78894	0.11303	-4.6174e-05	0.46679	0.070049	0.96385
MCF10A	INK128/MLN0128	mTORC1/2	PI3K/mTOR	0.024199	0.17159	0.46734	-0.0027447	1.3149	0.017581	0.99992
MCF10A	PF-4708671	p70S6K	PI3K/mTOR	Inf	0.72066	0.047469	-0.0020193	1.0315	4.381	0.99443
MCF10A	Buparlisib/NVP-BKM120	pan PI3K	PI3K/mTOR	1.465	-0.16037	0.24934	0.044409	1.6479	1.8654	0.99356
MCF10A	Pictilisib/GDC0941	pan PI3K	PI3K/mTOR	1.8745	0.19338	0.26225	-0.002547	0.41602	26.2875	0.97592
MCF10A	Ceritinib/LDK378	ALK	RTK	2.9867	-0.31864	0.1843	0.052124	1.3962	6.5603	0.98775
MCF10A	Neratinib/HKI272	EGFR/HER2	RTK	0.10243	0.095949	0.34427	0.02149	1.1138	0.081751	0.99316
MCF10A	Tivantinib/ARQ197	MET	RTK	0.18116	-0.15019	0.45094	0.14976	2.3782	0.1918	0.99221
MCF10A	Cediranib/AZD2171	VEGFR/cKIT	RTK	9.6397	0.47806	0.030976	0.0012075	3.3546	8.1	0.99825
MCF10A	Cabozantinib	VEGFR2/MET	RTK	25.9104	0.84341	-0.011444	0.0040411	4.9998	11.7694	0.81226
MCF7	Abemaciclib/LY2835219	CDK4/6	Cell cycle	0.023572	-0.26836	0.70181	0.091342	0.37954	0.13917	0.95433
MCF7	Palbociclib/PD0332991	CDK4/6	Cell cycle	0.074952	0.25417	0.34605	0.013903	1.0473	0.035667	0.99237
MCF7	AZD7762	CHK1/2	Cell cycle	0.04144	-0.18558	0.59767	0.13183	0.89925	0.048851	0.95892
MCF7	Volasertib/BI6727	PLK	Cell cycle	0.0028671	-0.033781	0.60703	0.12446	4.2176	0.002824	0.99423
MCF7	Dinaciclib/SCH727965	pan CDK	Cell cycle	0.0083068	-0.24932	0.6441	0.12558	3.5461	0.009348	0.9995
MCF7	Cisplatin	Chemo	Chemotherapy	9.3237	0.47488	0.063129	0.0037385	1.0987	15.5357	0.99433
MCF7	Doxorubicin	Chemo	Chemotherapy	0.016105	-0.28557	0.63632	0.10118	0.93261	0.024539	0.97476
MCF7	Paclitaxel	Chemo	Chemotherapy	0.0013771	-0.10588	0.7722	0.15887	1.156	0.0016261	0.94939
MCF7	Topotecan	Topo I	Chemotherapy	0.0060429	-0.27107	0.854	0.12204	1.1751	0.0071167	0.95657
MCF7	Etoposide	Topo II	Chemotherapy	0.13489	-0.044086	0.49919	0.0261	1.3301	0.14783	0.99669
MCF7	Dasatinib	BCR/ABL	MAPK/nRTK	0.069398	0.15739	0.48289	0.040004	1.6265	0.055227	0.99565
MCF7	Trametinib/GSK1120212	MEK	MAPK/nRTK	Inf	0.55808	0.27666	0.011387	1.2083	0.0027903	0.99413
MCF7	Saracatinib/AZD0530	SRC	MAPK/nRTK	0.57707	0.27354	0.32234	0.024059	0.66712	0.25342	0.9907
MCF7	ABT-737	Bcl2/XL	Misc	22.5968	0.72672	0.014593	0.011549	1.108	29.1513	0.88699
MCF7	Vorinostat	HDAC	Misc	0.54198	-0.17523	0.34939	0.079193	1.1946	0.72813	0.99735
MCF7	Luminespib/NVP-AUY922	HSP90	Misc	0.0087135	0.0015111	0.51321	0.061969	2.7505	0.008705	0.99839
MCF7	A-1210477	Mcl-1	Misc	Inf	0.87737	-0.00023399	0.00074401	1.8795	11.2338	0.74456
MCF7	Olaparib/AZD2281	PARP	Misc	10.3196	0.51365	0.055386	0.0074036	1.4485	14.0349	0.99551
MCF7	Bleomycin	Radiation	Misc	0.07723	-0.045899	0.55544	0.044293	1.2323	0.083522	0.99888
MCF7	Ipatasertib/GDC0068	AKT	PI3K/mTOR	1.2964	0.24967	0.25969	0.035037	0.64983	0.91468	0.99756
MCF7	Alpelisib/BYL719	PI3Ka	PI3K/mTOR	0.58502	0.020707	0.32587	0.051803	0.65517	0.82437	0.98733
MCF7	Taselisib/GDC0032	PI3Ka, g, d	PI3K/mTOR	0.0083619	-0.25454	0.76765	0.1823	0.51069	0.014367	0.95432
MCF7	TGX221	PI3Kb	PI3K/mTOR	15.3151	0.78927	-0.0067666	0.0018783	3.9246	12.6094	0.85557
MCF7	Torin2	mTOR/ATM/ATR	PI3K/mTOR	0.0045641	-0.133	0.60267	0.1279	0.93975	0.0052657	0.98973
MCF7	Everolimus	mTOR1	PI3K/mTOR	0.0026919	0.38646	0.56433	0.034092	0.26028	1.8439e-05	0.90097
MCF7	INK128/MLN0128	mTORC1/2	PI3K/mTOR	0.00298	-0.044951	0.72584	0.13472	1.1028	0.0028216	0.99089
MCF7	PF-4708671	p70S6K	PI3K/mTOR	14.8089	0.55767	0.0586	0.0040502	1.0532	5.6554	0.96631
MCF7	Buparlisib/NVP-BKM120	pan PI3K	PI3K/mTOR	0.18746	-0.26901	0.50353	0.1162	0.89358	0.34198	0.99189
MCF7	Pictilisib/GDC0941	pan PI3K	PI3K/mTOR	0.13012	-0.15936	0.50572	0.10178	0.61671	0.24212	0.99423
MCF7	Ceritinib/LDK378	ALK	RTK	0.34376	-0.6157	0.45661	0.14867	0.95016	0.88109	0.9932
MCF7	Neratinib/HKI272	EGFR/HER2	RTK	1.2629	0.058219	0.14205	0.021985	1.0034	3.7746	0.97694
MCF7	Tivantinib/ARQ197	MET	RTK	0.1513	-0.051186	0.4534	0.098356	1.7693	0.15446	0.99667
MCF7	Cediranib/AZD2171	VEGFR/cKIT	RTK	5.7041	0.11485	0.075794	0.019057	1.5383	11.6508	0.98993
MCF7	Cabozantinib	VEGFR2/MET	RTK	4.8819	-0.099312	0.10693	0.030204	1.808	8.9638	0.99698
MDAMB231	Abemaciclib/LY2835219	CDK4/6	Cell cycle	0.046803	-0.48745	0.67543	0.13932	0.38627	0.73058	0.97904
MDAMB231	Palbociclib/PD0332991	CDK4/6	Cell cycle	0.11065	0.20655	0.34692	0.010141	0.74276	0.05699	0.98815
MDAMB231	AZD7762	CHK1/2	Cell cycle	0.15977	-0.46315	0.53796	0.24222	0.9378	0.33846	0.98568
MDAMB231	Volasertib/BI6727	PLK	Cell cycle	0.0043583	-0.018563	0.5873	0.13593	3.6103	0.0044117	0.99795
MDAMB231	Dinaciclib/SCH727965	pan CDK	Cell cycle	0.010273	-0.42025	0.66272	0.2555	2.6877	0.012709	0.99722
MDAMB231	Cisplatin	Chemo	Chemotherapy	2.415	0.27208	0.14996	0.0084348	1.6944	1.6486	0.99899
MDAMB231	Doxorubicin	Chemo	Chemotherapy	0.0050428	-0.48636	0.81791	0.20921	1.056	0.0077676	0.95921
MDAMB231	Paclitaxel	Chemo	Chemotherapy	0.0023185	-0.12035	0.70206	0.25759	1.172	0.0026636	0.96432
MDAMB231	Topotecan	Topo I	Chemotherapy	0.029665	-0.32414	0.70438	0.079283	0.66445	0.059258	0.94327
MDAMB231	Etoposide	Topo II	Chemotherapy	0.7036	0.12025	0.29779	0.0094612	1.5558	0.62323	0.99162
MDAMB231	Dasatinib	BCR/ABL	MAPK/nRTK	0.02942	-0.12559	0.64747	0.11533	0.68122	0.03753	0.98521
MDAMB231	Trametinib/GSK1120212	MEK	MAPK/nRTK	0.0026306	-0.17851	0.72241	0.2816	1.1618	0.0033911	0.99829
MDAMB231	Saracatinib/AZD0530	SRC	MAPK/nRTK	2.3337	0.28009	0.26871	0.026243	0.33112	64.4143	0.98467
MDAMB231	ABT-737	Bcl2/XL	Misc	3.031	-0.12036	0.16157	0.079524	1.1097	8.1572	0.99586
MDAMB231	Vorinostat	HDAC	Misc	1.2388	-0.38477	0.28212	0.11157	1.7685	1.7699	0.99365
MDAMB231	Luminespib/NVP-AUY922	HSP90	Misc	0.0057951	-0.17823	0.64516	0.2269	3.8625	0.006261	0.99815
MDAMB231	A-1210477	Mcl-1	Misc	Inf	0.95688	0.051855	0.0034209	0	Inf	-8.5977e-09
MDAMB231	Olaparib/AZD2281	PARP	Misc	14.6165	0.61789	0.058113	0.0050301	0.94193	46.7541	0.98031
MDAMB231	Bleomycin	Radiation	Misc	6.333	0.43647	0.132	0.0030227	1.081	2.968	0.97684
MDAMB231	Ipatasertib/GDC0068	AKT	PI3K/mTOR	Inf	0.92535	0.0072675	-0.00080579	0	Inf	0.28623
MDAMB231	Alpelisib/BYL719	PI3Ka	PI3K/mTOR	48.2918	0.69041	0.089516	0.0044654	0.45042	553.5356	0.61498
MDAMB231	Taselisib/GDC0032	PI3Ka, g, d	PI3K/mTOR	2.1958	0.070907	0.25399	0.029394	0.4838	21.2709	0.9085
MDAMB231	TGX221	PI3Kb	PI3K/mTOR	Inf	0.85077	0.015406	0.005011	0.69461	20.4646	0.68698
MDAMB231	Torin2	mTOR/ATM/ATR	PI3K/mTOR	0.0251	-0.026213	0.38558	0.047778	1.0287	0.023885	0.98855
MDAMB231	Everolimus	mTOR1	PI3K/mTOR	Inf	0.71101	0.22455	-0.00062325	0	Inf	0.54965
MDAMB231	INK128/MLN0128	mTORC1/2	PI3K/mTOR	0.021834	0.10128	0.48596	0.025281	1.0516	0.015209	0.98917
MDAMB231	PF-4708671	p70S6K	PI3K/mTOR	Inf	0.85441	0.010539	0.0067966	4.2838	3.8501	0.8794
MDAMB231	Buparlisib/NVP-BKM120	pan PI3K	PI3K/mTOR	1.5103	-0.23509	0.27505	0.05956	1.9855	1.8969	0.98328
MDAMB231	Pictilisib/GDC0941	pan PI3K	PI3K/mTOR	5.3159	0.3053	0.20618	0.012029	0.36485	107.9707	0.87205
MDAMB231	Ceritinib/LDK378	ALK	RTK	0.86565	-0.33262	0.34439	0.10139	1.9065	1.1609	0.99581
MDAMB231	Neratinib/HKI272	EGFR/HER2	RTK	1.4329	-0.095742	0.10556	0.05162	1.6284	2.8124	0.99527
MDAMB231	Tivantinib/ARQ197	MET	RTK	0.41694	-0.084537	0.33301	0.10293	2.264	0.43275	0.99134
MDAMB231	Cediranib/AZD2171	VEGFR/cKIT	RTK	5.0964	-0.36201	0.11604	0.065893	2.7537	7.595	0.99835
MDAMB231	Cabozantinib	VEGFR2/MET	RTK	4.8325	0.074872	0.1413	0.033621	1.2384	11.7338	0.95871
SKBR3	Abemaciclib/LY2835219	CDK4/6	Cell cycle	0.035311	0.14322	0.53629	0.038737	0.63807	0.016543	0.96857
SKBR3	Palbociclib/PD0332991	CDK4/6	Cell cycle	0.17601	0.35028	0.28491	0.021764	0.96777	0.038204	0.97912
SKBR3	AZD7762	CHK1/2	Cell cycle	0.02013	-0.45094	0.90227	0.28663	3.0174	0.024464	0.99546
SKBR3	Volasertib/BI6727	PLK	Cell cycle	0.0054419	-0.34942	0.70444	0.27993	4.114	0.0060939	0.9976
SKBR3	Dinaciclib/SCH727965	pan CDK	Cell cycle	0.0068129	-0.62092	0.83615	0.30091	3.432	0.008573	0.99807
SKBR3	Cisplatin	Chemo	Chemotherapy	5.1075	0.24897	0.097787	0.011423	1.4151	5.7965	0.99044
SKBR3	Doxorubicin	Chemo	Chemotherapy	0.0067336	-0.61558	0.94206	0.31415	1.5278	0.010801	0.99572
SKBR3	Paclitaxel	Chemo	Chemotherapy	0.0019068	-0.34005	0.8905	0.36645	2.3888	0.0023578	0.96349
SKBR3	Topotecan	Topo I	Chemotherapy	0.016549	-0.27111	0.79408	0.19188	1.935	0.01923	0.98214
SKBR3	Etoposide	Topo II	Chemotherapy	0.39826	-0.31691	0.40396	0.1186	1.5701	0.532	0.99524
SKBR3	Dasatinib	BCR/ABL	MAPK/nRTK	3.6452	0.080962	0.061664	0.023318	5	3.5272	0.98252
SKBR3	Trametinib/GSK1120212	MEK	MAPK/nRTK	Inf	0.68284	0.18165	0.015415	1.1257	0.0059643	0.93505
SKBR3	Saracatinib/AZD0530	SRC	MAPK/nRTK	4.9166	0.27864	0.022136	0.010157	5	4.2128	0.96696
SKBR3	ABT-737	Bcl2/XL	Misc	Inf	0.94699	-0.014751	0.004538	0	Inf	0.12804
SKBR3	Vorinostat	HDAC	Misc	0.7625	-0.63216	0.36372	0.15338	2.3291	1.0657	0.99404
SKBR3	Luminespib/NVP-AUY922	HSP90	Misc	0.0022783	-0.07663	0.71396	0.10991	2.5203	0.0024311	0.9977
SKBR3	A-1210477	Mcl-1	Misc	11.3859	0.62748	0.038938	0.0039528	4.3303	10.9082	0.92796
SKBR3	Olaparib/AZD2281	PARP	Misc	12.0744	0.56526	0.042869	0.017359	1.0158	35.3887	0.93619
SKBR3	Bleomycin	Radiation	Misc	1.0576	0.18707	0.26042	0.061831	0.82291	0.85134	0.98455
SKBR3	Ipatasertib/GDC0068	AKT	PI3K/mTOR	3.3435	0.35598	0.15533	0.025389	0.85178	1.1231	0.9503
SKBR3	Alpelisib/BYL719	PI3Ka	PI3K/mTOR	0.48468	-0.14283	0.37882	0.065975	0.49108	2.8836	0.98115
SKBR3	Taselisib/GDC0032	PI3Ka, g, d	PI3K/mTOR	0.0061659	-0.20676	0.80683	0.14766	0.673	0.0081626	0.97463
SKBR3	TGX221	PI3Kb	PI3K/mTOR	Inf	0.74956	-0.008415	0.0075742	4.9846	4.3561	0.86723
SKBR3	Torin2	mTOR/ATM/ATR	PI3K/mTOR	0.0036122	-0.34155	0.73375	0.17505	1.362	0.0050857	0.99744
SKBR3	Everolimus	mTOR1	PI3K/mTOR	-Inf	0.11817	0.79443	0.12087	0.1	6.3064e-07	0.84606
SKBR3	INK128/MLN0128	mTORC1/2	PI3K/mTOR	0.0026508	-0.50641	0.97122	0.26925	1.0983	0.0044617	0.98817
SKBR3	PF-4708671	p70S6K	PI3K/mTOR	Inf	0.73422	0.021418	0.0056034	1.2557	6.3033	0.91227
SKBR3	Buparlisib/NVP-BKM120	pan PI3K	PI3K/mTOR	0.13982	-0.3731	0.58453	0.15894	0.96312	0.2774	0.98702
SKBR3	Pictilisib/GDC0941	pan PI3K	PI3K/mTOR	0.11448	-0.12674	0.51202	0.073142	0.67006	0.17544	0.99532
SKBR3	Ceritinib/LDK378	ALK	RTK	0.98319	-0.82542	0.31743	0.097521	1.2454	2.3754	0.98337
SKBR3	Neratinib/HKI272	EGFR/HER2	RTK	0.0016518	-0.25304	0.89092	0.20292	0.77231	0.0025421	0.9721
SKBR3	Tivantinib/ARQ197	MET	RTK	0.27263	-0.35226	0.48304	0.20595	2.4177	0.34098	0.99571
SKBR3	Cediranib/AZD2171	VEGFR/cKIT	RTK	6.1955	-0.53965	0.075474	0.052834	4.8242	7.7773	0.99548
SKBR3	Cabozantinib	VEGFR2/MET	RTK	9.7073	0.44218	0.0012758	0.0011246	5	12.0523	0.95604
BT20	Abemaciclib/LY2835219	CDK4/6	Cell cycle	0.061268	-0.21601	0.56936	0.043503	0.41772	0.17789	0.93347
BT20	Palbociclib/PD0332991	CDK4/6	Cell cycle	0.043794	0.1624	0.39716	0.021568	1.2275	0.030066	0.99055
BT20	AZD7762	CHK1/2	Cell cycle	1.081	-0.57845	0.28308	0.17223	1.5948	1.8464	0.99406
BT20	Volasertib/BI6727	PLK	Cell cycle	0.0056337	-0.5339	0.79038	0.34611	2.3226	0.0076094	0.99851
BT20	Dinaciclib/SCH727965	pan CDK	Cell cycle	0.018482	-0.69792	0.67907	0.31931	3.4864	0.02362	0.99822
BT20	Cisplatin	Chemo	Chemotherapy	0.79098	-0.33672	0.33381	0.079394	0.95788	1.7289	0.98666
BT20	Doxorubicin	Chemo	Chemotherapy	0.0087386	-0.48128	0.82792	0.30244	1.4443	0.013048	0.9861
BT20	Paclitaxel	Chemo	Chemotherapy	0.0020158	-0.57603	0.98543	0.44555	2.0677	0.0028795	0.99355
