CellLine	DrugName	PrimaryTarget	Pathway	Conc	GRvalue	IncreasedFracDead
HCC1806	Etoposide	Topo II	Chemotherapy	1	-0.23994	0.40223
HCC1806	Etoposide	Topo II	Chemotherapy	3.1623	-0.41714	0.47329
HCC1806	Etoposide	Topo II	Chemotherapy	10	-0.56294	0.58641
HCC1806	Dasatinib	BCR/ABL	MAPK/nRTK	0.001	0.91933	0.015481
HCC1806	Dasatinib	BCR/ABL	MAPK/nRTK	0.0031623	0.93158	0.002488
HCC1806	Dasatinib	BCR/ABL	MAPK/nRTK	0.01	0.92314	0.014663
HCC1806	Dasatinib	BCR/ABL	MAPK/nRTK	0.031623	0.67921	0.043108
HCC1806	Dasatinib	BCR/ABL	MAPK/nRTK	0.1	0.29898	0.14756
HCC1806	Dasatinib	BCR/ABL	MAPK/nRTK	0.31623	-0.081033	0.31128
HCC1806	Dasatinib	BCR/ABL	MAPK/nRTK	1	-0.1363	0.32774
HCC1806	Dasatinib	BCR/ABL	MAPK/nRTK	3.1623	-0.063481	0.25574
HCC1806	Dasatinib	BCR/ABL	MAPK/nRTK	10	-0.099193	0.34463
HCC1806	Trametinib/GSK1120212	MEK	MAPK/nRTK	0.0001	1.0301	0.0061265
HCC1806	Trametinib/GSK1120212	MEK	MAPK/nRTK	0.00031623	1.0766	-0.0014189
HCC1806	Trametinib/GSK1120212	MEK	MAPK/nRTK	0.001	1.0631	0.009766
HCC1806	Trametinib/GSK1120212	MEK	MAPK/nRTK	0.0031623	1.0012	0.01922
HCC1806	Trametinib/GSK1120212	MEK	MAPK/nRTK	0.01	0.82177	0.030529
HCC1806	Trametinib/GSK1120212	MEK	MAPK/nRTK	0.031623	0.83183	0.043577
HCC1806	Trametinib/GSK1120212	MEK	MAPK/nRTK	0.1	0.7512	0.044488
HCC1806	Trametinib/GSK1120212	MEK	MAPK/nRTK	0.31623	0.70358	0.06176
HCC1806	Trametinib/GSK1120212	MEK	MAPK/nRTK	1	0.81386	0.037867
HCC1806	Saracatinib/AZD0530	SRC	MAPK/nRTK	0.001	1.0566	-0.00099388
HCC1806	Saracatinib/AZD0530	SRC	MAPK/nRTK	0.0031623	0.94143	0.0057632
HCC1806	Saracatinib/AZD0530	SRC	MAPK/nRTK	0.01	0.99793	0.0012312
HCC1806	Saracatinib/AZD0530	SRC	MAPK/nRTK	0.031623	0.96275	0.013389
HCC1806	Saracatinib/AZD0530	SRC	MAPK/nRTK	0.1	0.81217	0.030656
HCC1806	Saracatinib/AZD0530	SRC	MAPK/nRTK	0.31623	0.80017	0.050579
HCC1806	Saracatinib/AZD0530	SRC	MAPK/nRTK	1	0.54833	0.078365
HCC1806	Saracatinib/AZD0530	SRC	MAPK/nRTK	3.1623	0.43249	0.11326
HCC1806	Saracatinib/AZD0530	SRC	MAPK/nRTK	10	0.22128	0.14013
HCC1806	ABT-737	Bcl2/XL	Misc	0.001	1.0427	-0.00093919
HCC1806	ABT-737	Bcl2/XL	Misc	0.0031623	1.042	0.0049015
HCC1806	ABT-737	Bcl2/XL	Misc	0.01	1.0592	-0.0030864
HCC1806	ABT-737	Bcl2/XL	Misc	0.031623	1.0731	-0.00052259
HCC1806	ABT-737	Bcl2/XL	Misc	0.1	1.1723	-0.0019819
HCC1806	ABT-737	Bcl2/XL	Misc	0.31623	1.2119	-0.0042932
HCC1806	ABT-737	Bcl2/XL	Misc	1	1.2575	-0.0055219
HCC1806	ABT-737	Bcl2/XL	Misc	3.1623	1.1888	0.0096049
HCC1806	ABT-737	Bcl2/XL	Misc	10	0.72927	0.12622
HCC1806	Vorinostat	HDAC	Misc	0.001	1.0136	-0.0069302
HCC1806	Vorinostat	HDAC	Misc	0.0031623	1.0396	-0.0038598
HCC1806	Vorinostat	HDAC	Misc	0.01	1.0312	-3.7011e-05
HCC1806	Vorinostat	HDAC	Misc	0.031623	1.0082	-0.0016651
HCC1806	Vorinostat	HDAC	Misc	0.1	0.92455	0.0070516
HCC1806	Vorinostat	HDAC	Misc	0.31623	0.84518	0.015878
HCC1806	Vorinostat	HDAC	Misc	1	0.55991	0.054174
HCC1806	Vorinostat	HDAC	Misc	3.1623	0.15807	0.17812
HCC1806	Vorinostat	HDAC	Misc	10	0.017846	0.19873
HCC1806	Luminespib/NVP-AUY922	HSP90	Misc	0.0001	1.0518	-0.0028861
HCC1806	Luminespib/NVP-AUY922	HSP90	Misc	0.00031623	0.98046	0.0029286
HCC1806	Luminespib/NVP-AUY922	HSP90	Misc	0.001	1.067	-0.00064566
HCC1806	Luminespib/NVP-AUY922	HSP90	Misc	0.0031623	1.0288	-0.0047839
HCC1806	Luminespib/NVP-AUY922	HSP90	Misc	0.01	0.55863	0.11289
HCC1806	Luminespib/NVP-AUY922	HSP90	Misc	0.031623	-0.069205	0.36562
HCC1806	Luminespib/NVP-AUY922	HSP90	Misc	0.1	-0.15015	0.44524
HCC1806	Luminespib/NVP-AUY922	HSP90	Misc	0.31623	-0.16633	0.45752
HCC1806	Luminespib/NVP-AUY922	HSP90	Misc	1	-0.17512	0.47227
HCC1806	A-1210477	Mcl-1	Misc	0.001	0.98437	-0.0074722
HCC1806	A-1210477	Mcl-1	Misc	0.0031623	1.0324	-0.0023358
HCC1806	A-1210477	Mcl-1	Misc	0.01	0.98975	0.0062986
HCC1806	A-1210477	Mcl-1	Misc	0.031623	0.99772	0.0036345
HCC1806	A-1210477	Mcl-1	Misc	0.1	0.99502	0.0025545
HCC1806	A-1210477	Mcl-1	Misc	0.31623	1.0678	-0.005654
HCC1806	A-1210477	Mcl-1	Misc	1	1.0685	0.0020194
HCC1806	A-1210477	Mcl-1	Misc	3.1623	1.0029	-0.0069191
HCC1806	A-1210477	Mcl-1	Misc	10	0.90468	0.021266
HCC1806	Olaparib/AZD2281	PARP	Misc	0.001	0.97232	0.0070554
HCC1806	Olaparib/AZD2281	PARP	Misc	0.0031623	0.95753	0.010034
HCC1806	Olaparib/AZD2281	PARP	Misc	0.01	0.99025	0.0062594
HCC1806	Olaparib/AZD2281	PARP	Misc	0.031623	0.99276	0.0051431
HCC1806	Olaparib/AZD2281	PARP	Misc	0.1	0.98211	0.0098008
HCC1806	Olaparib/AZD2281	PARP	Misc	0.31623	0.86116	0.014288
HCC1806	Olaparib/AZD2281	PARP	Misc	1	0.90543	0.01713
HCC1806	Olaparib/AZD2281	PARP	Misc	3.1623	0.81797	0.02674
HCC1806	Olaparib/AZD2281	PARP	Misc	10	0.48863	0.10512
HCC1806	Bleomycin	Radiation	Misc	0.0010833	1.0353	-0.00052226
HCC1806	Bleomycin	Radiation	Misc	0.0033333	1.0827	0.0012264
HCC1806	Bleomycin	Radiation	Misc	0.01	0.97903	0.0084676
HCC1806	Bleomycin	Radiation	Misc	0.031667	0.97667	0.014013
HCC1806	Bleomycin	Radiation	Misc	0.1	1.0283	0.0011532
HCC1806	Bleomycin	Radiation	Misc	0.31623	0.8449	0.016144
HCC1806	Bleomycin	Radiation	Misc	1	0.7704	0.035199
HCC1806	Bleomycin	Radiation	Misc	3.1623	0.63741	0.051493
HCC1806	Bleomycin	Radiation	Misc	10	0.4813	0.10036
HCC1806	Ipatasertib/GDC0068	AKT	PI3K/mTOR	0.001	0.94722	-0.00030567
HCC1806	Ipatasertib/GDC0068	AKT	PI3K/mTOR	0.0031623	1.0171	-0.005558
HCC1806	Ipatasertib/GDC0068	AKT	PI3K/mTOR	0.01	0.975	0.0045057
HCC1806	Ipatasertib/GDC0068	AKT	PI3K/mTOR	0.031623	0.99989	-0.0055128
HCC1806	Ipatasertib/GDC0068	AKT	PI3K/mTOR	0.1	1.0178	-0.0028997
HCC1806	Ipatasertib/GDC0068	AKT	PI3K/mTOR	0.31623	0.97261	-0.0013006
HCC1806	Ipatasertib/GDC0068	AKT	PI3K/mTOR	1	1.0055	-0.0045438
HCC1806	Ipatasertib/GDC0068	AKT	PI3K/mTOR	3.1623	0.95019	-0.00032087
HCC1806	Ipatasertib/GDC0068	AKT	PI3K/mTOR	10	0.94497	-0.0021805
HCC1806	Alpelisib/BYL719	PI3Ka	PI3K/mTOR	0.001	0.9949	-0.0043493
HCC1806	Alpelisib/BYL719	PI3Ka	PI3K/mTOR	0.0031623	1.024	0.00564
HCC1806	Alpelisib/BYL719	PI3Ka	PI3K/mTOR	0.01	0.97294	0.0037688
HCC1806	Alpelisib/BYL719	PI3Ka	PI3K/mTOR	0.031623	1.0199	0.00067936
HCC1806	Alpelisib/BYL719	PI3Ka	PI3K/mTOR	0.1	0.99085	0.0014978
HCC1806	Alpelisib/BYL719	PI3Ka	PI3K/mTOR	0.31623	0.94936	0.00072687
HCC1806	Alpelisib/BYL719	PI3Ka	PI3K/mTOR	1	0.98843	0.0015781
HCC1806	Alpelisib/BYL719	PI3Ka	PI3K/mTOR	3.1623	0.88534	0.010471
HCC1806	Alpelisib/BYL719	PI3Ka	PI3K/mTOR	10	0.72602	0.017586
HCC1806	Taselisib/GDC0032	PI3Ka, g, d	PI3K/mTOR	0.001	1.0144	-0.001691
HCC1806	Taselisib/GDC0032	PI3Ka, g, d	PI3K/mTOR	0.0031623	1.0056	0.0025728
HCC1806	Taselisib/GDC0032	PI3Ka, g, d	PI3K/mTOR	0.01	0.97791	-0.0016259
HCC1806	Taselisib/GDC0032	PI3Ka, g, d	PI3K/mTOR	0.031623	0.87121	0.022219
HCC1806	Taselisib/GDC0032	PI3Ka, g, d	PI3K/mTOR	0.1	0.79299	0.023398
HCC1806	Taselisib/GDC0032	PI3Ka, g, d	PI3K/mTOR	0.31623	0.79525	0.035168
HCC1806	Taselisib/GDC0032	PI3Ka, g, d	PI3K/mTOR	1	0.59703	0.058506
HCC1806	Taselisib/GDC0032	PI3Ka, g, d	PI3K/mTOR	3.1623	0.40113	0.10718
HCC1806	Taselisib/GDC0032	PI3Ka, g, d	PI3K/mTOR	10	-0.029721	0.29879
HCC1806	TGX221	PI3Kb	PI3K/mTOR	0.001	1.0544	0.0036809
HCC1806	TGX221	PI3Kb	PI3K/mTOR	0.0031623	1.0251	0.00072075
HCC1806	TGX221	PI3Kb	PI3K/mTOR	0.01	1.0814	-0.0018051
HCC1806	TGX221	PI3Kb	PI3K/mTOR	0.031623	1.0165	0.0047697
HCC1806	TGX221	PI3Kb	PI3K/mTOR	0.1	0.95015	0.0064745
HCC1806	TGX221	PI3Kb	PI3K/mTOR	0.31623	0.99514	0.0096877
HCC1806	TGX221	PI3Kb	PI3K/mTOR	1	1.0527	0.0037927
HCC1806	TGX221	PI3Kb	PI3K/mTOR	3.1623	1.0207	-0.0029691
HCC1806	TGX221	PI3Kb	PI3K/mTOR	10	0.98191	0.0073576
HCC1806	Torin2	mTOR/ATM/ATR	PI3K/mTOR	0.0001	1.0343	-0.001985
HCC1806	Torin2	mTOR/ATM/ATR	PI3K/mTOR	0.00031623	0.93988	0.0084012
HCC1806	Torin2	mTOR/ATM/ATR	PI3K/mTOR	0.001	0.99598	-0.0015692
HCC1806	Torin2	mTOR/ATM/ATR	PI3K/mTOR	0.0031623	1.0012	-0.0020434
HCC1806	Torin2	mTOR/ATM/ATR	PI3K/mTOR	0.01	0.75017	0.016375
HCC1806	Torin2	mTOR/ATM/ATR	PI3K/mTOR	0.031623	0.54138	0.05114
HCC1806	Torin2	mTOR/ATM/ATR	PI3K/mTOR	0.1	0.19891	0.16033
HCC1806	Torin2	mTOR/ATM/ATR	PI3K/mTOR	0.31623	0.024134	0.27795
HCC1806	Torin2	mTOR/ATM/ATR	PI3K/mTOR	1	-0.14021	0.39541
HCC1806	Everolimus	mTOR1	PI3K/mTOR	0.001	0.78278	0.010872
HCC1806	Everolimus	mTOR1	PI3K/mTOR	0.0031623	0.80074	0.0071069
HCC1806	Everolimus	mTOR1	PI3K/mTOR	0.01	0.79138	0.0061963
HCC1806	Everolimus	mTOR1	PI3K/mTOR	0.031623	0.80577	-0.0014462
HCC1806	Everolimus	mTOR1	PI3K/mTOR	0.1	0.70663	0.0026328
HCC1806	Everolimus	mTOR1	PI3K/mTOR	0.31623	0.84397	-0.0038129
HCC1806	Everolimus	mTOR1	PI3K/mTOR	1	0.81787	-0.0035599
HCC1806	Everolimus	mTOR1	PI3K/mTOR	3.1623	0.81681	-0.0040725
HCC1806	Everolimus	mTOR1	PI3K/mTOR	10	0.89533	-0.01004
HCC1806	INK128/MLN0128	mTORC1/2	PI3K/mTOR	0.00031623	0.89658	0.0089972
HCC1806	INK128/MLN0128	mTORC1/2	PI3K/mTOR	0.001	0.95459	0.0020361
HCC1806	INK128/MLN0128	mTORC1/2	PI3K/mTOR	0.0031623	0.89818	0.0040156
HCC1806	INK128/MLN0128	mTORC1/2	PI3K/mTOR	0.01	0.7903	-0.00010654
HCC1806	INK128/MLN0128	mTORC1/2	PI3K/mTOR	0.031623	0.53192	0.039334
HCC1806	INK128/MLN0128	mTORC1/2	PI3K/mTOR	0.1	0.42061	0.040417
HCC1806	INK128/MLN0128	mTORC1/2	PI3K/mTOR	0.31623	0.37062	0.061594
HCC1806	INK128/MLN0128	mTORC1/2	PI3K/mTOR	1	0.33881	0.060694
HCC1806	INK128/MLN0128	mTORC1/2	PI3K/mTOR	3.1623	0.26195	0.10078
HCC1806	PF-4708671	p70S6K	PI3K/mTOR	0.001	1.0152	0.0059207
HCC1806	PF-4708671	p70S6K	PI3K/mTOR	0.0031623	1.0299	0.006209
HCC1806	PF-4708671	p70S6K	PI3K/mTOR	0.01	0.95562	0.0030239
HCC1806	PF-4708671	p70S6K	PI3K/mTOR	0.031623	1.0289	0.0053527
HCC1806	PF-4708671	p70S6K	PI3K/mTOR	0.1	1.0369	-0.0042901
HCC1806	PF-4708671	p70S6K	PI3K/mTOR	0.31623	1.0125	0.0053546
HCC1806	PF-4708671	p70S6K	PI3K/mTOR	1	1.0192	-0.0099893
HCC1806	PF-4708671	p70S6K	PI3K/mTOR	3.1623	1.1503	-0.016036
HCC1806	PF-4708671	p70S6K	PI3K/mTOR	10	1.2045	-0.024883
HCC1806	Buparlisib/NVP-BKM120	pan PI3K	PI3K/mTOR	0.001	0.94694	0.0020085
HCC1806	Buparlisib/NVP-BKM120	pan PI3K	PI3K/mTOR	0.0031623	0.98897	0.0017155
HCC1806	Buparlisib/NVP-BKM120	pan PI3K	PI3K/mTOR	0.01	1.0201	0.0019427
HCC1806	Buparlisib/NVP-BKM120	pan PI3K	PI3K/mTOR	0.031623	1.0031	0.0014804
HCC1806	Buparlisib/NVP-BKM120	pan PI3K	PI3K/mTOR	0.1	0.954	0.0037514
HCC1806	Buparlisib/NVP-BKM120	pan PI3K	PI3K/mTOR	0.31623	0.88569	0.0069591
HCC1806	Buparlisib/NVP-BKM120	pan PI3K	PI3K/mTOR	1	0.55411	0.081335
HCC1806	Buparlisib/NVP-BKM120	pan PI3K	PI3K/mTOR	3.1623	-0.18554	0.49892
HCC1806	Buparlisib/NVP-BKM120	pan PI3K	PI3K/mTOR	10	-0.26918	0.52421
HCC1806	Pictilisib/GDC0941	pan PI3K	PI3K/mTOR	0.001	0.93582	-0.00014718
HCC1806	Pictilisib/GDC0941	pan PI3K	PI3K/mTOR	0.0031623	0.97487	0.0055609
HCC1806	Pictilisib/GDC0941	pan PI3K	PI3K/mTOR	0.01	1.0206	-5.2755e-05
HCC1806	Pictilisib/GDC0941	pan PI3K	PI3K/mTOR	0.031623	0.97226	0.00018357
HCC1806	Pictilisib/GDC0941	pan PI3K	PI3K/mTOR	0.1	0.92446	0.0071225
HCC1806	Pictilisib/GDC0941	pan PI3K	PI3K/mTOR	0.31623	0.89974	0.0086237
HCC1806	Pictilisib/GDC0941	pan PI3K	PI3K/mTOR	1	0.94193	0.014718
HCC1806	Pictilisib/GDC0941	pan PI3K	PI3K/mTOR	3.1623	0.7587	0.015965
HCC1806	Pictilisib/GDC0941	pan PI3K	PI3K/mTOR	10	0.19361	0.14595
HCC1806	Ceritinib/LDK378	ALK	RTK	0.001	1.0121	0.0060478
HCC1806	Ceritinib/LDK378	ALK	RTK	0.0031623	1.0658	-0.0021411
HCC1806	Ceritinib/LDK378	ALK	RTK	0.01	1.0487	0.00014782
HCC1806	Ceritinib/LDK378	ALK	RTK	0.031623	1.0774	-0.0051559
HCC1806	Ceritinib/LDK378	ALK	RTK	0.1	1.0986	-0.0040042
HCC1806	Ceritinib/LDK378	ALK	RTK	0.31623	1.1237	-0.007752
HCC1806	Ceritinib/LDK378	ALK	RTK	1	0.85895	0.023308
HCC1806	Ceritinib/LDK378	ALK	RTK	3.1623	0.17634	0.12321
HCC1806	Ceritinib/LDK378	ALK	RTK	10	-0.40601	0.58043
HCC1806	Neratinib/HKI272	EGFR/HER2	RTK	0.00031623	1.0684	0.0047614
HCC1806	Neratinib/HKI272	EGFR/HER2	RTK	0.001	1.0533	-0.00087895
HCC1806	Neratinib/HKI272	EGFR/HER2	RTK	0.0031623	1.0102	0.0050943
HCC1806	Neratinib/HKI272	EGFR/HER2	RTK	0.01	0.99591	0.016774
HCC1806	Neratinib/HKI272	EGFR/HER2	RTK	0.031623	0.899	0.029199
HCC1806	Neratinib/HKI272	EGFR/HER2	RTK	0.1	0.76821	0.050141
HCC1806	Neratinib/HKI272	EGFR/HER2	RTK	0.31623	0.70263	0.061508
HCC1806	Neratinib/HKI272	EGFR/HER2	RTK	1	0.55134	0.078809
HCC1806	Neratinib/HKI272	EGFR/HER2	RTK	3.1623	-0.088255	0.43583
HCC1806	Tivantinib/ARQ197	MET	RTK	0.001	1.0293	0.0035629
HCC1806	Tivantinib/ARQ197	MET	RTK	0.0031623	0.9997	0.0040139
HCC1806	Tivantinib/ARQ197	MET	RTK	0.01	1.0496	-0.0015202
HCC1806	Tivantinib/ARQ197	MET	RTK	0.031623	1.0186	0.0013
HCC1806	Tivantinib/ARQ197	MET	RTK	0.1	0.96304	0.005209
HCC1806	Tivantinib/ARQ197	MET	RTK	0.31623	0.35682	0.15622
HCC1806	Tivantinib/ARQ197	MET	RTK	1	-0.17778	0.49866
HCC1806	Tivantinib/ARQ197	MET	RTK	3.1623	-0.18691	0.48586
HCC1806	Tivantinib/ARQ197	MET	RTK	10	-0.21848	0.47523
HCC1806	Cediranib/AZD2171	VEGFR/cKIT	RTK	0.001	0.99232	0.00046346
HCC1806	Cediranib/AZD2171	VEGFR/cKIT	RTK	0.0031623	1.081	-0.010584
HCC1806	Cediranib/AZD2171	VEGFR/cKIT	RTK	0.01	1.0401	0.00079818
HCC1806	Cediranib/AZD2171	VEGFR/cKIT	RTK	0.031623	0.97214	0.0071647
HCC1806	Cediranib/AZD2171	VEGFR/cKIT	RTK	0.1	0.99832	0.0026254
HCC1806	Cediranib/AZD2171	VEGFR/cKIT	RTK	0.31623	0.9459	0.016578
HCC1806	Cediranib/AZD2171	VEGFR/cKIT	RTK	1	1.0383	0.0095805
HCC1806	Cediranib/AZD2171	VEGFR/cKIT	RTK	3.1623	0.89542	0.02498
HCC1806	Cediranib/AZD2171	VEGFR/cKIT	RTK	10	0.095404	0.27518
HCC1806	Cabozantinib	VEGFR2/MET	RTK	0.001	1.0034	0.0011371
HCC1806	Cabozantinib	VEGFR2/MET	RTK	0.0031623	0.96624	0.0032034
HCC1806	Cabozantinib	VEGFR2/MET	RTK	0.01	1.0074	0.00020597
HCC1806	Cabozantinib	VEGFR2/MET	RTK	0.031623	1.0527	-0.0014426
HCC1806	Cabozantinib	VEGFR2/MET	RTK	0.1	1.0055	0.0011641
HCC1806	Cabozantinib	VEGFR2/MET	RTK	0.31623	1.0807	-0.0064479
HCC1806	Cabozantinib	VEGFR2/MET	RTK	1	1.044	0.0024489
HCC1806	Cabozantinib	VEGFR2/MET	RTK	3.1623	1.1649	-0.016651
HCC1806	Cabozantinib	VEGFR2/MET	RTK	10	0.69051	0.060975
HS578T	Abemaciclib/LY2835219	CDK4/6	Cell cycle	0.001	0.93361	0.0040767
HS578T	Abemaciclib/LY2835219	CDK4/6	Cell cycle	0.0031623	0.79103	0.0085383
HS578T	Abemaciclib/LY2835219	CDK4/6	Cell cycle	0.01	0.71721	0.025965
HS578T	Abemaciclib/LY2835219	CDK4/6	Cell cycle	0.031623	0.53839	0.045376
