cell_line,agent,PrimaryTarget,Pathway,concentration,GRvalue,IncreasedFracDead,receptor_status,color_map
HCC1806,AZD7762,CHK1/2,Cell cycle,0.0031623000000000003,0.99725,0.0085216,TNBC,#ca7832
HCC1806,AZD7762,CHK1/2,Cell cycle,0.01,0.72675,0.06774,TNBC,#ca7832
HCC1806,AZD7762,CHK1/2,Cell cycle,0.031623000000000005,0.12541,0.31387,TNBC,#ca7832
HCC1806,AZD7762,CHK1/2,Cell cycle,0.1,-0.24829,0.52952,TNBC,#ca7832
HCC1806,AZD7762,CHK1/2,Cell cycle,0.31623,-0.28865999999999997,0.58594,TNBC,#ca7832
HCC1806,AZD7762,CHK1/2,Cell cycle,1.0,-0.3313,0.62585,TNBC,#ca7832
HCC1806,AZD7762,CHK1/2,Cell cycle,3.1623,-0.37606,0.66396,TNBC,#ca7832
HCC1806,AZD7762,CHK1/2,Cell cycle,10.0,-0.48222,0.7175,TNBC,#ca7832
HCC1806,Volasertib/BI6727,PLK,Cell cycle,0.0001,1.0118,0.00038628,TNBC,#ca7832
HCC1806,Volasertib/BI6727,PLK,Cell cycle,0.00031623,1.0541,-0.0036820999999999998,TNBC,#ca7832
HCC1806,Volasertib/BI6727,PLK,Cell cycle,0.001,0.98516,0.007477500000000001,TNBC,#ca7832
HCC1806,Volasertib/BI6727,PLK,Cell cycle,0.0031623000000000003,0.32711,0.18652,TNBC,#ca7832
HCC1806,Volasertib/BI6727,PLK,Cell cycle,0.01,-0.18597,0.5170899999999999,TNBC,#ca7832
HCC1806,Volasertib/BI6727,PLK,Cell cycle,0.031623000000000005,-0.16623,0.51589,TNBC,#ca7832
HCC1806,Volasertib/BI6727,PLK,Cell cycle,0.1,-0.1298,0.49533999999999995,TNBC,#ca7832
HCC1806,Volasertib/BI6727,PLK,Cell cycle,0.31623,-0.1323,0.48286999999999997,TNBC,#ca7832
HCC1806,Volasertib/BI6727,PLK,Cell cycle,1.0,-0.12761,0.4527,TNBC,#ca7832
HCC1806,Dinaciclib/SCH727965,pan CDK,Cell cycle,0.0001,1.0433,-0.0028499000000000003,TNBC,#ca7832
HCC1806,Dinaciclib/SCH727965,pan CDK,Cell cycle,0.00031623,1.055,-0.010894,TNBC,#ca7832
HCC1806,Dinaciclib/SCH727965,pan CDK,Cell cycle,0.001,1.0024,0.0019917000000000003,TNBC,#ca7832
HCC1806,Dinaciclib/SCH727965,pan CDK,Cell cycle,0.0031623000000000003,0.9967299999999999,0.00058634,TNBC,#ca7832
HCC1806,Dinaciclib/SCH727965,pan CDK,Cell cycle,0.01,0.76788,0.035474,TNBC,#ca7832
HCC1806,Dinaciclib/SCH727965,pan CDK,Cell cycle,0.031623000000000005,-0.33116999999999996,0.59546,TNBC,#ca7832
HCC1806,Dinaciclib/SCH727965,pan CDK,Cell cycle,0.1,-0.47557,0.73826,TNBC,#ca7832
HCC1806,Dinaciclib/SCH727965,pan CDK,Cell cycle,0.31623,-0.45851000000000003,0.7262,TNBC,#ca7832
HCC1806,Dinaciclib/SCH727965,pan CDK,Cell cycle,1.0,-0.44974,0.71822,TNBC,#ca7832
HCC1806,Cisplatin,Chemo,Chemotherapy,0.0010833,1.0443,-0.001679,TNBC,#ca7832
HCC1806,Cisplatin,Chemo,Chemotherapy,0.0033333,1.0548,-0.004972,TNBC,#ca7832
HCC1806,Cisplatin,Chemo,Chemotherapy,0.01,0.94429,0.0053747,TNBC,#ca7832
HCC1806,Cisplatin,Chemo,Chemotherapy,0.031667,1.0951,-0.0019287,TNBC,#ca7832
HCC1806,Cisplatin,Chemo,Chemotherapy,0.1,0.9732799999999999,-0.0068184,TNBC,#ca7832
HCC1806,Cisplatin,Chemo,Chemotherapy,0.31623,0.70897,0.019903,TNBC,#ca7832
HCC1806,Cisplatin,Chemo,Chemotherapy,1.0,0.48651000000000005,0.10898,TNBC,#ca7832
HCC1806,Cisplatin,Chemo,Chemotherapy,3.1623,-0.1138,0.28875,TNBC,#ca7832
HCC1806,Cisplatin,Chemo,Chemotherapy,10.0,-0.36479,0.50046,TNBC,#ca7832
HCC1806,Doxorubicin,Chemo,Chemotherapy,0.00031623,0.9294899999999999,0.0055221,TNBC,#ca7832
HCC1806,Doxorubicin,Chemo,Chemotherapy,0.001,0.9949399999999999,0.0011550999999999998,TNBC,#ca7832
HCC1806,Doxorubicin,Chemo,Chemotherapy,0.0031623000000000003,0.94106,0.013763,TNBC,#ca7832
HCC1806,Doxorubicin,Chemo,Chemotherapy,0.01,0.6358,0.10489000000000001,TNBC,#ca7832
HCC1806,Doxorubicin,Chemo,Chemotherapy,0.031623000000000005,0.20743000000000003,0.21696,TNBC,#ca7832
HCC1806,Doxorubicin,Chemo,Chemotherapy,0.1,0.032482,0.2486,TNBC,#ca7832
HCC1806,Doxorubicin,Chemo,Chemotherapy,0.31623,-0.0087477,0.27447,TNBC,#ca7832
HCC1806,Doxorubicin,Chemo,Chemotherapy,1.0,-0.13013,0.33133,TNBC,#ca7832
HCC1806,Doxorubicin,Chemo,Chemotherapy,3.1623,-0.32406,0.57687,TNBC,#ca7832
HCC1806,Paclitaxel,Chemo,Chemotherapy,0.0001,0.7361800000000001,0.037609,TNBC,#ca7832
HCC1806,Paclitaxel,Chemo,Chemotherapy,0.00031623,1.0636,-0.0019117000000000001,TNBC,#ca7832
HCC1806,Paclitaxel,Chemo,Chemotherapy,0.001,0.68901,0.091199,TNBC,#ca7832
HCC1806,Paclitaxel,Chemo,Chemotherapy,0.0031623000000000003,0.039194,0.34786999999999996,TNBC,#ca7832
HCC1806,Paclitaxel,Chemo,Chemotherapy,0.01,-0.14934,0.46357,TNBC,#ca7832
HCC1806,Paclitaxel,Chemo,Chemotherapy,0.031623000000000005,-0.17702,0.5260100000000001,TNBC,#ca7832
HCC1806,Paclitaxel,Chemo,Chemotherapy,0.1,-0.22223,0.5508,TNBC,#ca7832
HCC1806,Paclitaxel,Chemo,Chemotherapy,0.31623,-0.21126999999999999,0.55998,TNBC,#ca7832
HCC1806,Paclitaxel,Chemo,Chemotherapy,1.0,-0.2088,0.5687800000000001,TNBC,#ca7832
HCC1806,Topotecan,Topo I,Chemotherapy,0.0010833,0.8401700000000001,0.012239,TNBC,#ca7832
HCC1806,Topotecan,Topo I,Chemotherapy,0.0033333,0.81476,0.035196,TNBC,#ca7832
HCC1806,Topotecan,Topo I,Chemotherapy,0.01,0.10023,0.20611,TNBC,#ca7832
HCC1806,Topotecan,Topo I,Chemotherapy,0.031667,-0.14098,0.36641999999999997,TNBC,#ca7832
HCC1806,Topotecan,Topo I,Chemotherapy,0.1,-0.19304000000000002,0.4512,TNBC,#ca7832
HCC1806,Topotecan,Topo I,Chemotherapy,0.31623,-0.31655,0.52031,TNBC,#ca7832
HCC1806,Topotecan,Topo I,Chemotherapy,1.0,-0.4557,0.51347,TNBC,#ca7832
HCC1806,Topotecan,Topo I,Chemotherapy,3.1623,-0.5081,0.5083,TNBC,#ca7832
HCC1806,Topotecan,Topo I,Chemotherapy,10.0,-0.5458,0.55016,TNBC,#ca7832
HCC1806,Etoposide,Topo II,Chemotherapy,0.0010833,1.0669,-0.0036693000000000003,TNBC,#ca7832
HCC1806,Etoposide,Topo II,Chemotherapy,0.0033333,1.0136,-0.010343999999999999,TNBC,#ca7832
HCC1806,Etoposide,Topo II,Chemotherapy,0.01,0.9215,0.013522999999999999,TNBC,#ca7832
HCC1806,Etoposide,Topo II,Chemotherapy,0.031667,0.8408100000000001,0.025236,TNBC,#ca7832
HCC1806,Etoposide,Topo II,Chemotherapy,0.1,0.43649,0.064993,TNBC,#ca7832
HCC1806,Etoposide,Topo II,Chemotherapy,0.31623,0.053204999999999995,0.26506,TNBC,#ca7832
HCC1806,Etoposide,Topo II,Chemotherapy,1.0,-0.23994000000000001,0.40223000000000003,TNBC,#ca7832
HCC1806,Etoposide,Topo II,Chemotherapy,3.1623,-0.41713999999999996,0.47329,TNBC,#ca7832
HCC1806,Etoposide,Topo II,Chemotherapy,10.0,-0.56294,0.58641,TNBC,#ca7832
HCC1806,Dasatinib,BCR/ABL,MAPK/nRTK,0.001,0.91933,0.015481,TNBC,#ca7832
HCC1806,Dasatinib,BCR/ABL,MAPK/nRTK,0.0031623000000000003,0.93158,0.0024879999999999998,TNBC,#ca7832
HCC1806,Dasatinib,BCR/ABL,MAPK/nRTK,0.01,0.92314,0.014662999999999999,TNBC,#ca7832
HCC1806,Dasatinib,BCR/ABL,MAPK/nRTK,0.031623000000000005,0.6792100000000001,0.043108,TNBC,#ca7832
HCC1806,Dasatinib,BCR/ABL,MAPK/nRTK,0.1,0.29898,0.14756,TNBC,#ca7832
HCC1806,Dasatinib,BCR/ABL,MAPK/nRTK,0.31623,-0.08103300000000001,0.31128,TNBC,#ca7832
HCC1806,Dasatinib,BCR/ABL,MAPK/nRTK,1.0,-0.1363,0.32774000000000003,TNBC,#ca7832
HCC1806,Dasatinib,BCR/ABL,MAPK/nRTK,3.1623,-0.063481,0.25574,TNBC,#ca7832
HCC1806,Dasatinib,BCR/ABL,MAPK/nRTK,10.0,-0.09919299999999999,0.34463,TNBC,#ca7832
HCC1806,Trametinib/GSK1120212,MEK,MAPK/nRTK,0.0001,1.0301,0.0061265,TNBC,#ca7832
HCC1806,Trametinib/GSK1120212,MEK,MAPK/nRTK,0.00031623,1.0766,-0.0014189,TNBC,#ca7832
HCC1806,Trametinib/GSK1120212,MEK,MAPK/nRTK,0.001,1.0631,0.009766,TNBC,#ca7832
HCC1806,Trametinib/GSK1120212,MEK,MAPK/nRTK,0.0031623000000000003,1.0012,0.019219999999999998,TNBC,#ca7832
HCC1806,Trametinib/GSK1120212,MEK,MAPK/nRTK,0.01,0.8217700000000001,0.030529,TNBC,#ca7832
HCC1806,Trametinib/GSK1120212,MEK,MAPK/nRTK,0.031623000000000005,0.83183,0.043577,TNBC,#ca7832
HCC1806,Trametinib/GSK1120212,MEK,MAPK/nRTK,0.1,0.7512,0.044488,TNBC,#ca7832
HCC1806,Trametinib/GSK1120212,MEK,MAPK/nRTK,0.31623,0.70358,0.06176,TNBC,#ca7832
HCC1806,Trametinib/GSK1120212,MEK,MAPK/nRTK,1.0,0.81386,0.037867000000000005,TNBC,#ca7832
HCC1806,Saracatinib/AZD0530,SRC,MAPK/nRTK,0.001,1.0566,-0.00099388,TNBC,#ca7832
HCC1806,Saracatinib/AZD0530,SRC,MAPK/nRTK,0.0031623000000000003,0.9414299999999999,0.0057632,TNBC,#ca7832
HCC1806,Saracatinib/AZD0530,SRC,MAPK/nRTK,0.01,0.9979299999999999,0.0012312000000000002,TNBC,#ca7832
HCC1806,Saracatinib/AZD0530,SRC,MAPK/nRTK,0.031623000000000005,0.96275,0.013388999999999998,TNBC,#ca7832
HCC1806,Saracatinib/AZD0530,SRC,MAPK/nRTK,0.1,0.81217,0.030656,TNBC,#ca7832
HCC1806,Saracatinib/AZD0530,SRC,MAPK/nRTK,0.31623,0.8001699999999999,0.050579,TNBC,#ca7832
HCC1806,Saracatinib/AZD0530,SRC,MAPK/nRTK,1.0,0.54833,0.078365,TNBC,#ca7832
HCC1806,Saracatinib/AZD0530,SRC,MAPK/nRTK,3.1623,0.43249,0.11325999999999999,TNBC,#ca7832
HCC1806,Saracatinib/AZD0530,SRC,MAPK/nRTK,10.0,0.22128,0.14013,TNBC,#ca7832
HCC1806,ABT-737,Bcl2/XL,Misc,0.001,1.0427,-0.00093919,TNBC,#ca7832
HCC1806,ABT-737,Bcl2/XL,Misc,0.0031623000000000003,1.042,0.0049015000000000005,TNBC,#ca7832
HCC1806,ABT-737,Bcl2/XL,Misc,0.01,1.0592,-0.0030864,TNBC,#ca7832
HCC1806,ABT-737,Bcl2/XL,Misc,0.031623000000000005,1.0731,-0.00052259,TNBC,#ca7832
HCC1806,ABT-737,Bcl2/XL,Misc,0.1,1.1723,-0.0019819000000000004,TNBC,#ca7832
HCC1806,ABT-737,Bcl2/XL,Misc,0.31623,1.2119,-0.0042932,TNBC,#ca7832
HCC1806,ABT-737,Bcl2/XL,Misc,1.0,1.2575,-0.0055219,TNBC,#ca7832
HCC1806,ABT-737,Bcl2/XL,Misc,3.1623,1.1888,0.0096049,TNBC,#ca7832
HCC1806,ABT-737,Bcl2/XL,Misc,10.0,0.72927,0.12622,TNBC,#ca7832
HCC1806,Vorinostat,HDAC,Misc,0.001,1.0136,-0.006930199999999999,TNBC,#ca7832
HCC1806,Vorinostat,HDAC,Misc,0.0031623000000000003,1.0396,-0.0038598,TNBC,#ca7832
HCC1806,Vorinostat,HDAC,Misc,0.01,1.0312,-3.7011e-05,TNBC,#ca7832
HCC1806,Vorinostat,HDAC,Misc,0.031623000000000005,1.0082,-0.0016651,TNBC,#ca7832
HCC1806,Vorinostat,HDAC,Misc,0.1,0.92455,0.007051600000000001,TNBC,#ca7832
HCC1806,Vorinostat,HDAC,Misc,0.31623,0.8451799999999999,0.015878,TNBC,#ca7832
HCC1806,Vorinostat,HDAC,Misc,1.0,0.55991,0.054174,TNBC,#ca7832
HCC1806,Vorinostat,HDAC,Misc,3.1623,0.15807000000000002,0.17812,TNBC,#ca7832
HCC1806,Vorinostat,HDAC,Misc,10.0,0.017846,0.19873,TNBC,#ca7832
HCC1806,Luminespib/NVP-AUY922,HSP90,Misc,0.0001,1.0518,-0.0028861,TNBC,#ca7832
HCC1806,Luminespib/NVP-AUY922,HSP90,Misc,0.00031623,0.98046,0.0029286,TNBC,#ca7832
HCC1806,Luminespib/NVP-AUY922,HSP90,Misc,0.001,1.067,-0.00064566,TNBC,#ca7832
HCC1806,Luminespib/NVP-AUY922,HSP90,Misc,0.0031623000000000003,1.0288,-0.0047839,TNBC,#ca7832
HCC1806,Luminespib/NVP-AUY922,HSP90,Misc,0.01,0.5586300000000001,0.11289,TNBC,#ca7832
HCC1806,Luminespib/NVP-AUY922,HSP90,Misc,0.031623000000000005,-0.06920499999999999,0.36562,TNBC,#ca7832
HCC1806,Luminespib/NVP-AUY922,HSP90,Misc,0.1,-0.15015,0.44523999999999997,TNBC,#ca7832
HCC1806,Luminespib/NVP-AUY922,HSP90,Misc,0.31623,-0.16633,0.45752,TNBC,#ca7832
HCC1806,Luminespib/NVP-AUY922,HSP90,Misc,1.0,-0.17512,0.47226999999999997,TNBC,#ca7832
HCC1806,A-1210477,Mcl-1,Misc,0.001,0.9843700000000001,-0.007472199999999999,TNBC,#ca7832
HCC1806,A-1210477,Mcl-1,Misc,0.0031623000000000003,1.0324,-0.0023358,TNBC,#ca7832
HCC1806,A-1210477,Mcl-1,Misc,0.01,0.98975,0.0062986000000000006,TNBC,#ca7832
HCC1806,A-1210477,Mcl-1,Misc,0.031623000000000005,0.99772,0.0036344999999999997,TNBC,#ca7832
HCC1806,A-1210477,Mcl-1,Misc,0.1,0.9950200000000001,0.0025545000000000003,TNBC,#ca7832
HCC1806,A-1210477,Mcl-1,Misc,0.31623,1.0678,-0.005654,TNBC,#ca7832
HCC1806,A-1210477,Mcl-1,Misc,1.0,1.0685,0.0020194,TNBC,#ca7832
HCC1806,A-1210477,Mcl-1,Misc,3.1623,1.0029,-0.0069191,TNBC,#ca7832
HCC1806,A-1210477,Mcl-1,Misc,10.0,0.9046799999999999,0.021266,TNBC,#ca7832
HCC1806,Olaparib/AZD2281,PARP,Misc,0.001,0.9723200000000001,0.0070554,TNBC,#ca7832
HCC1806,Olaparib/AZD2281,PARP,Misc,0.0031623000000000003,0.9575299999999999,0.010034,TNBC,#ca7832
HCC1806,Olaparib/AZD2281,PARP,Misc,0.01,0.99025,0.006259399999999999,TNBC,#ca7832
HCC1806,Olaparib/AZD2281,PARP,Misc,0.031623000000000005,0.9927600000000001,0.0051431,TNBC,#ca7832
HCC1806,Olaparib/AZD2281,PARP,Misc,0.1,0.98211,0.0098008,TNBC,#ca7832
HCC1806,Olaparib/AZD2281,PARP,Misc,0.31623,0.86116,0.014288,TNBC,#ca7832
HCC1806,Olaparib/AZD2281,PARP,Misc,1.0,0.90543,0.017130000000000003,TNBC,#ca7832
HCC1806,Olaparib/AZD2281,PARP,Misc,3.1623,0.81797,0.026739999999999996,TNBC,#ca7832
HCC1806,Olaparib/AZD2281,PARP,Misc,10.0,0.48863,0.10512,TNBC,#ca7832
HCC1806,Bleomycin,Radiation,Misc,0.0010833,1.0353,-0.00052226,TNBC,#ca7832
HCC1806,Bleomycin,Radiation,Misc,0.0033333,1.0827,0.0012264,TNBC,#ca7832
HCC1806,Bleomycin,Radiation,Misc,0.01,0.97903,0.0084676,TNBC,#ca7832
HCC1806,Bleomycin,Radiation,Misc,0.031667,0.97667,0.014013,TNBC,#ca7832
HCC1806,Bleomycin,Radiation,Misc,0.1,1.0283,0.0011532,TNBC,#ca7832
HCC1806,Bleomycin,Radiation,Misc,0.31623,0.8449,0.016144,TNBC,#ca7832
HCC1806,Bleomycin,Radiation,Misc,1.0,0.7704,0.035199,TNBC,#ca7832
HCC1806,Bleomycin,Radiation,Misc,3.1623,0.63741,0.051493,TNBC,#ca7832
HCC1806,Bleomycin,Radiation,Misc,10.0,0.4813,0.10036,TNBC,#ca7832
HCC1806,Ipatasertib/GDC0068,AKT,PI3K/mTOR,0.001,0.9472200000000001,-0.00030567,TNBC,#ca7832
HCC1806,Ipatasertib/GDC0068,AKT,PI3K/mTOR,0.0031623000000000003,1.0171,-0.005558,TNBC,#ca7832
HCC1806,Ipatasertib/GDC0068,AKT,PI3K/mTOR,0.01,0.975,0.0045057,TNBC,#ca7832
HCC1806,Ipatasertib/GDC0068,AKT,PI3K/mTOR,0.031623000000000005,0.99989,-0.0055128,TNBC,#ca7832
HCC1806,Ipatasertib/GDC0068,AKT,PI3K/mTOR,0.1,1.0178,-0.0028997,TNBC,#ca7832
HCC1806,Ipatasertib/GDC0068,AKT,PI3K/mTOR,0.31623,0.9726100000000001,-0.0013005999999999998,TNBC,#ca7832
HCC1806,Ipatasertib/GDC0068,AKT,PI3K/mTOR,1.0,1.0055,-0.004543800000000001,TNBC,#ca7832
HCC1806,Ipatasertib/GDC0068,AKT,PI3K/mTOR,3.1623,0.95019,-0.00032087,TNBC,#ca7832
HCC1806,Ipatasertib/GDC0068,AKT,PI3K/mTOR,10.0,0.9449700000000001,-0.0021805,TNBC,#ca7832
HCC1806,Alpelisib/BYL719,PI3Ka,PI3K/mTOR,0.001,0.9949,-0.0043493,TNBC,#ca7832
HCC1806,Alpelisib/BYL719,PI3Ka,PI3K/mTOR,0.0031623000000000003,1.024,0.00564,TNBC,#ca7832
HCC1806,Alpelisib/BYL719,PI3Ka,PI3K/mTOR,0.01,0.9729399999999999,0.0037688,TNBC,#ca7832
HCC1806,Alpelisib/BYL719,PI3Ka,PI3K/mTOR,0.031623000000000005,1.0199,0.00067936,TNBC,#ca7832
HCC1806,Alpelisib/BYL719,PI3Ka,PI3K/mTOR,0.1,0.99085,0.0014977999999999999,TNBC,#ca7832
HCC1806,Alpelisib/BYL719,PI3Ka,PI3K/mTOR,0.31623,0.94936,0.00072687,TNBC,#ca7832
HCC1806,Alpelisib/BYL719,PI3Ka,PI3K/mTOR,1.0,0.9884299999999999,0.0015780999999999998,TNBC,#ca7832
HCC1806,Alpelisib/BYL719,PI3Ka,PI3K/mTOR,3.1623,0.88534,0.010471,TNBC,#ca7832
HCC1806,Alpelisib/BYL719,PI3Ka,PI3K/mTOR,10.0,0.72602,0.017586,TNBC,#ca7832
HCC1806,Taselisib/GDC0032,"PI3Ka, g, d",PI3K/mTOR,0.001,1.0144,-0.001691,TNBC,#ca7832
HCC1806,Taselisib/GDC0032,"PI3Ka, g, d",PI3K/mTOR,0.0031623000000000003,1.0056,0.0025728,TNBC,#ca7832
HCC1806,Taselisib/GDC0032,"PI3Ka, g, d",PI3K/mTOR,0.01,0.9779100000000001,-0.0016259,TNBC,#ca7832
HCC1806,Taselisib/GDC0032,"PI3Ka, g, d",PI3K/mTOR,0.031623000000000005,0.87121,0.022219,TNBC,#ca7832
HCC1806,Taselisib/GDC0032,"PI3Ka, g, d",PI3K/mTOR,0.1,0.79299,0.023398,TNBC,#ca7832
HCC1806,Taselisib/GDC0032,"PI3Ka, g, d",PI3K/mTOR,0.31623,0.79525,0.035168,TNBC,#ca7832
HCC1806,Taselisib/GDC0032,"PI3Ka, g, d",PI3K/mTOR,1.0,0.5970300000000001,0.058505999999999996,TNBC,#ca7832
HCC1806,Taselisib/GDC0032,"PI3Ka, g, d",PI3K/mTOR,3.1623,0.40113000000000004,0.10718,TNBC,#ca7832
HCC1806,Taselisib/GDC0032,"PI3Ka, g, d",PI3K/mTOR,10.0,-0.029720999999999997,0.29879,TNBC,#ca7832
HCC1806,TGX221,PI3Kb,PI3K/mTOR,0.001,1.0544,0.0036808999999999995,TNBC,#ca7832
HCC1806,TGX221,PI3Kb,PI3K/mTOR,0.0031623000000000003,1.0251,0.00072075,TNBC,#ca7832
HCC1806,TGX221,PI3Kb,PI3K/mTOR,0.01,1.0814,-0.0018050999999999998,TNBC,#ca7832
HCC1806,TGX221,PI3Kb,PI3K/mTOR,0.031623000000000005,1.0165,0.0047697,TNBC,#ca7832
HCC1806,TGX221,PI3Kb,PI3K/mTOR,0.1,0.95015,0.0064745,TNBC,#ca7832
HCC1806,TGX221,PI3Kb,PI3K/mTOR,0.31623,0.9951399999999999,0.0096877,TNBC,#ca7832
HCC1806,TGX221,PI3Kb,PI3K/mTOR,1.0,1.0527,0.0037927,TNBC,#ca7832
HCC1806,TGX221,PI3Kb,PI3K/mTOR,3.1623,1.0207,-0.0029690999999999997,TNBC,#ca7832
HCC1806,TGX221,PI3Kb,PI3K/mTOR,10.0,0.9819100000000001,0.007357600000000001,TNBC,#ca7832
HCC1806,Torin2,mTOR/ATM/ATR,PI3K/mTOR,0.0001,1.0343,-0.0019850000000000002,TNBC,#ca7832
HCC1806,Torin2,mTOR/ATM/ATR,PI3K/mTOR,0.00031623,0.9398799999999999,0.0084012,TNBC,#ca7832
HCC1806,Torin2,mTOR/ATM/ATR,PI3K/mTOR,0.001,0.99598,-0.0015692,TNBC,#ca7832
HCC1806,Torin2,mTOR/ATM/ATR,PI3K/mTOR,0.0031623000000000003,1.0012,-0.0020434,TNBC,#ca7832
HCC1806,Torin2,mTOR/ATM/ATR,PI3K/mTOR,0.01,0.75017,0.016375,TNBC,#ca7832
HCC1806,Torin2,mTOR/ATM/ATR,PI3K/mTOR,0.031623000000000005,0.54138,0.05114,TNBC,#ca7832
HCC1806,Torin2,mTOR/ATM/ATR,PI3K/mTOR,0.1,0.19891,0.16033,TNBC,#ca7832
HCC1806,Torin2,mTOR/ATM/ATR,PI3K/mTOR,0.31623,0.024134,0.27795,TNBC,#ca7832
HCC1806,Torin2,mTOR/ATM/ATR,PI3K/mTOR,1.0,-0.14021,0.39541,TNBC,#ca7832
HCC1806,Everolimus,mTOR1,PI3K/mTOR,0.001,0.78278,0.010872,TNBC,#ca7832
HCC1806,Everolimus,mTOR1,PI3K/mTOR,0.0031623000000000003,0.80074,0.0071069,TNBC,#ca7832
HCC1806,Everolimus,mTOR1,PI3K/mTOR,0.01,0.79138,0.0061963,TNBC,#ca7832
HCC1806,Everolimus,mTOR1,PI3K/mTOR,0.031623000000000005,0.80577,-0.0014462,TNBC,#ca7832
HCC1806,Everolimus,mTOR1,PI3K/mTOR,0.1,0.70663,0.0026328000000000002,TNBC,#ca7832
HCC1806,Everolimus,mTOR1,PI3K/mTOR,0.31623,0.8439700000000001,-0.0038128999999999997,TNBC,#ca7832
HCC1806,Everolimus,mTOR1,PI3K/mTOR,1.0,0.81787,-0.0035599000000000004,TNBC,#ca7832
HCC1806,Everolimus,mTOR1,PI3K/mTOR,3.1623,0.81681,-0.0040725,TNBC,#ca7832
HCC1806,Everolimus,mTOR1,PI3K/mTOR,10.0,0.89533,-0.01004,TNBC,#ca7832
HCC1806,INK128/MLN0128,mTORC1/2,PI3K/mTOR,0.00031623,0.8965799999999999,0.0089972,TNBC,#ca7832
HCC1806,INK128/MLN0128,mTORC1/2,PI3K/mTOR,0.001,0.9545899999999999,0.0020361,TNBC,#ca7832
HCC1806,INK128/MLN0128,mTORC1/2,PI3K/mTOR,0.0031623000000000003,0.89818,0.0040156,TNBC,#ca7832
HCC1806,INK128/MLN0128,mTORC1/2,PI3K/mTOR,0.01,0.7903,-0.00010654,TNBC,#ca7832
HCC1806,INK128/MLN0128,mTORC1/2,PI3K/mTOR,0.031623000000000005,0.53192,0.039334,TNBC,#ca7832
HCC1806,INK128/MLN0128,mTORC1/2,PI3K/mTOR,0.1,0.42061000000000004,0.040417,TNBC,#ca7832
HCC1806,INK128/MLN0128,mTORC1/2,PI3K/mTOR,0.31623,0.37062,0.061594,TNBC,#ca7832
HCC1806,INK128/MLN0128,mTORC1/2,PI3K/mTOR,1.0,0.33881,0.060694000000000005,TNBC,#ca7832
HCC1806,INK128/MLN0128,mTORC1/2,PI3K/mTOR,3.1623,0.26195,0.10078,TNBC,#ca7832
HCC1806,PF-4708671,p70S6K,PI3K/mTOR,0.001,1.0152,0.0059207,TNBC,#ca7832
HCC1806,PF-4708671,p70S6K,PI3K/mTOR,0.0031623000000000003,1.0299,0.006209,TNBC,#ca7832
HCC1806,PF-4708671,p70S6K,PI3K/mTOR,0.01,0.95562,0.0030239,TNBC,#ca7832
